"","posX","posY","angle","X00.14.bf.b1.97.8a","X00.14.bf.b1.97.90","X00.0f.a3.39.e1.c0","X00.14.bf.b1.97.8d","X00.14.bf.b1.97.81","X00.14.bf.3b.c7.c6","X00.0f.a3.39.dd.cd"
"48",5,7,0,-48.7768753810644,-59.1605207098922,-48.9363636363636,-58.0614676936243,-62.208963792531,-59.870231742038,-61.0409090909091
"49",5,8,0,-53.6757960781053,-60.564657649923,-47.2909090909091,-57.8383066868946,-61.0251995130529,-64.3017703887849,-61.2363636363636
"50",6,3,0,-52.1957391559969,-64.6249741025579,-46.6636363636364,-54.8556774419419,-55.7466339473458,-57.2786704026292,-63.1681818181818
"51",6,7,0,-50.3133338876088,-61.3607249671496,-46.3454545454545,-58.8589780993504,-65.1583105333055,-59.1839612840315,-66
"52",6,8,0,-52.6938830261064,-63.8789067853314,-48.1181818181818,-59.5709923367176,-61.779958160668,-60.8879476684343,-63.5181818181818
"53",7,3,0,-55.8927088529666,-62.1698158762405,-48.7727272727273,-55.5473975959855,-55.1102703109821,-60.1580173515597,-58.7454545454545
"54",7,7,0,-58.544053515294,-63.512487051279,-44.0090909090909,-60.0429085463103,-69.903556445696,-58.6469453991681,-58
"55",7,8,0,-55.4820271733536,-65.5122827940216,-49.4772727272727,-55.9106002256195,-60.4431681381651,-61.1658726442068,-65.3636363636364
"56",8,3,0,-53.7392812037279,-69.4427474062251,-51.3727272727273,-57.6189364764461,-57.6200144792986,-53.1479703610962,-59.5619414718327
"57",8,7,0,-57.8661180824445,-62.7447137476118,-45.3636363636364,-60.0986423931225,-58.9183813312347,-54.4291362944147,-53.6710323809236
"58",8,8,0,-55.9560991084084,-60.3042131712174,-48.4909090909091,-56.0759151203952,-64.2503083895905,-60.6932385498366,-59.1363636363636
"59",9,3,0,-48.4473491776928,-61.0544174284747,-49.4,-55.9763488543976,-57.2886226836196,-50.6786704026292,-60.2954545454545
"60",9,4,0,-56.7649439093047,-66.3249741025579,-45.8989516308703,-56.8122787567589,-51.4934947677779,-55.6744044831551,-63.98466874456
"61",9,7,0,-58.2689586451133,-67.4115419961789,-53.4545454545455,-55.4998871902595,-58.9704408654378,-59.1608612978758,-55.2090909090909
"62",9,8,0,-58.9929549611611,-66.4117462534362,-45.3727272727273,-53.1564885050764,-57.8312646791191,-55.6195794935383,-57.9392141991055
"63",10,3,0,-54.6331257274865,-68.8103926838214,-45.2454545454545,-57.2874956237601,-52.4511794018912,-52.0603954060903,-65.1363636363636
"64",10,4,0,-57.1586371950495,-68.2137125948229,-49.5489516308703,-54.7461527988486,-54.2043185814591,-53.1019567454991,-65.4875193073018
"65",10,5,0,-55.3151707663254,-71.1890189807089,-44.3363636363636,-57.8606566304897,-55.6732534153929,-55.2607681195187,-59.7090909090909
"66",10,6,0,-59.1656822338884,-63.4866441248075,-42.7909090909091,-50.7255377912631,-58.6703319889002,-50.9741249480838,-65.0301232900145
"67",10,7,0,-64.5996975239724,-63.4354185812636,-51.2636363636364,-55.6457754697164,-57.8754127061225,-47.6103954060903,-63.6392141991054
"68",10,8,0,-58.2125955630251,-67.0067922843761,-44.7272727272727,-55.6767261835298,-59.0000997565264,-55.5103022277332,-57.1409090909091
"69",11,3,0,-52.4787315109549,-69.6613377389215,-50.3454545454545,-60.3548099739371,-54.2253129495961,-55.078484045915,-63.0954545454545
"70",11,4,0,-55.1689022772802,-69.7352905551928,-52.7489516308703,-58.4379293577625,-54.2152421516668,-56.420231742038,-66.6818181818182
"71",11,5,0,-54.2938830261064,-65.9708371625271,-49.6090909090909,-51.9598455673552,-57.0949010427554,-51.9470385775252,-63.9545454545455
"72",11,6,0,-54.6702276884339,-67.4866441248075,-43.5090909090909,-56.4804605749407,-60.0673016858699,-55.8836817489602,-64.3909090909091
"73",11,7,0,-54.6889965931856,-70.5382019516796,-48.0363636363636,-54.9486423931225,-61.0550715972111,-50.3469453991681,-58.8392141991054
"74",11,8,0,-56.5563452166029,-69.8089628830201,-43.0909090909091,-54.0622787567589,-59.7302847902807,-47.1196726718954,-60.6619414718327
"75",12,3,0,-55.0570271733536,-68.7356990697075,-51.4090909090909,-60.0726144629867,-54.0197876062123,-49.7872022415775,-65.9636363636364
"76",12,4,0,-54.4585423248688,-67.1814858984901,-45.5307698126885,-55.8044890496752,-53.6043185814591,-54.0475976476678,-65.88466874456
"77",12,5,0,-54.7633338876088,-70.0223949893992,-48.2545454545455,-59.2978313299879,-59.3355832605782,-52.0201385636809,-72.4210323809236
"78",12,6,0,-57.5638261039979,-71.3022468298306,-52.0629399725334,-54.3528105185358,-58.3011794018912,-53.0474112909536,-66.2954545454545
"79",12,7,0,-60.6562503464222,-64.3633040803083,-51.176224358143,-54.3535651768001,-55.679205144916,-50.8013976753565,-59.1545454545455
"80",12,8,0,-53.9922166365774,-70.0178495348537,-49.8454545454545,-56.8064885050764,-61.2707674950506,-49.2282045108437,-61.1454545454545
"81",13,3,0,-55.9740348183956,-66.6109292244069,-52.2272727272727,-55.5209359318474,-51.7100434378958,-47.5842408191028,-68.4909090909091
"82",13,4,0,-54.5108343033154,-66.0654746789523,-48,-59.2734255261213,-53.8337505994614,-51.0607681195187,-72.3619414718327
"83",13,5,0,-53.8428037231473,-65.805234457504,-49.2454545454545,-59.3837612323492,-57.6306114198935,-50.4655931091355,-66.2591681382981
"84",13,6,0,-57.6361560305168,-68.3725992466565,-53.5,-58.7449644065819,-58.7732534153929,-51.6104885844474,-58.4818181818182
"85",13,7,0,-59.2296595759001,-67.7949180048691,-49.9363636363636,-56.2528105185358,-61.6676283154827,-52.0383203818627,-59.5454545454545
"86",13,8,0,-59.1157771040692,-65.0352143240062,-53.3454545454545,-56.7490197222546,-57.4956540585074,-55.3422135879085,-64.3937596536509
"87",14,3,0,-55.5325386409166,-72.0895555212943,-50.8125879945067,-61.1197475395807,-48.5137361201628,-52.5924931229798,-69.4483051081964
"88",14,7,0,-57.6445649828571,-68.2623590252082,-50.6909090909091,-51.1325164352122,-56.941108603962,-51.229415829486,-64.9909090909091
"89",14,8,0,-61.2064400867837,-68.9162917079817,-50.8363636363636,-56.8754813863928,-56.3564778721887,-48.0470385775252,-58.4727272727273
"90",15,3,0,-61.5609855413292,-68.791189579353,-51.8160850799225,-57.8804605749407,-48.7165486701179,-52.8289499377005,-70.3028505627418
"91",15,7,0,-56.42066353699,-68.4998719739292,-48.7818181818182,-52.2812716380752,-59.9635092470765,-53.3385067385769,-65.8
"92",15,8,0,-57.4075193897427,-68.7560773839754,-45.2818181818182,-51.7879293577625,-60.3221737700282,-56.5568749134729,-73.2818181818182
"93",16,3,0,-60.8929549611611,-70.6935644352544,-53.9727272727273,-55.7366845606255,-51.9088640360046,-53.5380408467914,-71.9420647618473
"94",16,7,0,-58.0218377101298,-74.3403725503237,-52.8363636363636,-52.3482650639904,-55.8036653222336,-57.892679479694,-58.0755778354691
"95",16,8,0,-61.2416295500075,-72.127757472974,-50.5454545454545,-56.1197475395807,-55.1372164086421,-55.4561294866161,-63.7483051081964
"96",17,3,0,-60.8683151907103,-73.491189579353,-48.2272727272727,-56.3416637491734,-55.4696878496858,-53.9565022000445,-72.8664869263782
"97",17,7,0,-56.7348869871962,-69.9113377389215,-49.7433578071952,-55.6759151203952,-58.6980402223233,-57.220231742038,-70.9
"98",17,8,0,-56.9457391559969,-74.9487226615718,-51.6,-52.7122787567589,-57.0694609765995,-52.7286704026292,-64.4
"99",18,3,0,-57.1847357491824,-70.1054387147613,-50.0909090909091,-54.4655794141673,-51.2431681381651,-53.8474112909536,-75.3255778354691
"100",18,7,0,-61.1432395717034,-71.604621685732,-48,-50.6015093165286,-57.2309380495063,-58.2070612701871,-70.9181818181818
"101",18,8,0,-57.1018946322382,-75.5190750783977,-50.0818181818182,-48.4069222390789,-58.8361367632773,-59.5472249342394,-63.3954545454545
"102",19,3,0,-59.8653797578608,-73.4217822176272,-52.9489516308703,-56.0313280429455,-54.4521592907296,-54.4105817628045,-71.1573960172873
"103",19,7,0,-58.821686472116,-69.3176452775964,-59.1,-52.1693138055782,-57.9176283154827,-59.7877613117201,-69.6528505627418
"104",19,8,0,-58.8689022772802,-68.1639168520803,-53.4979032617406,-53.1883066868946,-56.4431681381651,-56.0012113186423,-67.48466874456
"105",20,3,0,-60.2428037231473,-71.9601884265641,-55.5398607217794,-51.3553001128097,-50.0707674950506,-54.4152203957071,-73.2272727272727
"106",20,7,0,-60.1093755196332,-72.1842692689061,-49.2363636363636,-51.3841949663516,-56.9036653222336,-63.9326324892305,-63.8619414718327
"107",20,8,0,-56.5125955630251,-67.9955307766411,-51.0363636363636,-50.7556774419419,-56.5652421516668,-58.2835885706031,-75.7
"108",21,3,0,-59.4161180824445,-72.8156789362097,-54.4090909090909,-54.5242929941261,-47.7284521291639,-61.1475976476678,-75.4664869263782
"109",21,4,0,-64.7375199440182,-75.3574050561481,-52,-52.1234819309916,-54.701506031504,-59.4788567593434,-76.3636363636364
"110",21,5,0,-63.3278034460096,-74.6350862979355,-58.4636363636364,-55.1437196094449,-54.5781254995512,-59.4193931368241,-75.9363636363636
"111",21,6,0,-65.0246219049655,-72.3850862979355,-59.592776220451,-45.0185027424437,-50.2452276723682,-63.9652203957071,-72.7272727272727
"112",21,7,0,-64.1649439093047,-67.1773916338162,-59.4818181818182,-50.1709923367176,-56.489602572458,-60.3834022138889,-71.0863636363636
"113",21,8,0,-62.9139209741787,-67.801838315316,-52.5181818181818,-49.7308943089431,-56.1438213973907,-63.9212810017677,-76.6472266664654
"114",22,3,0,-57.3394324417417,-71.5630998230509,-56.5909090909091,-53.2734255261213,-51.652259047256,-58.0557567731877,-74.1
"115",22,4,0,-62.0661180824445,-72.3038046567027,-56.5363636363636,-56.4185027424437,-54.0767192245736,-58.5154067524212,-79.7
"116",22,5,0,-65.1513075456683,-74.2888147234516,-55.9727272727273,-49.1362508266231,-52.8624296017117,-58.3562226649732,-76.5557011254836
"117",22,6,0,-61.7782392945657,-75.6228035039138,-59.8363636363636,-53.2436632045746,-53.4623298451853,-63.1795090078431,-72.5506164500727
"118",22,7,0,-65.0309286192207,-69.8694073617258,-60.5,-46.3106566304898,-55.1648157655276,-65.1609544762329,-72.8181818181818
"119",22,8,0,-61.9650951473185,-75.8470886035132,-55.2636363636364,-50.1172579453067,-58.0717473838889,-63.75696809183,-74.98466874456
"120",23,3,0,-60.0824437707358,-70.9909853220957,-54.2636363636364,-52.0713696658498,-53.6795317745287,-60.7835885706031,-74.0181818181818
"121",23,4,0,-66.1117238659129,-73.7447137476118,-53.6363636363636,-51.2457754697164,-50.9980402223233,-58.7906984363933,-73.2301232900145
"122",23,5,0,-66.2137697361649,-72.8886104661943,-54.2636363636364,-48.4288948535418,-52.8557248564367,-59.9108612978758,-76.7181818181818
"123",23,6,0,-59.1564400867837,-68.4725992466565,-59.2181818181818,-51.8974540008558,-54.9952276723682,-59.3113271896613,-77.4227272727273
"124",23,7,0,-62.9763831646752,-74.2344735261635,-58.3636363636364,-53.0536215816704,-56.2837505994614,-59.8056635948306,-75.1272727272727
"125",23,8,0,-60.479167359511,-74.9637125948229,-57.8090909090909,-52.5156358190376,-55.9756395792088,-62.0296953645573,-77.4011556709382
"126",24,3,0,-60.4625006928443,-75.4645296238522,-57.5272727272727,-54.4941533434473,-52.3763925949608,-58.3111408329471,-73.6057011254836
"127",24,4,0,-61.0103984547592,-74.2633040803083,-57.5909090909091,-54.2825728400825,-54.7742333042313,-61.6474112909536,-77.1909090909091
"128",24,5,0,-59.6996026537916,-70.7836564971341,-63.8454545454545,-51.3602228964873,-53.5068045018015,-60.0642643143345,-74.9
"129",24,6,0,-61.0274060998013,-75.291189579353,-59.8181818181818,-52.7358170926207,-48.4563781156622,-61.3878544900772,-77.0711096101309
"130",24,7,0,-64.7007204590984,-74.7548259429894,-59.0454545454545,-46.7321955109503,-52.9032389360943,-59.0102090493761,-78.0392141991054
"131",24,8,0,-63.2207584071707,-76.568666563883,-56.3090909090909,-50.8783483097989,-59.4183813312347,-65.5897423550208,-74.1875193073018
"132",25,3,0,-61.7426139827858,-74.904621685732,-58.8,-52.2032442525382,-52.0319179383446,-59.3379476684343,-77.7937596536509
"133",25,4,0,-64.550966567293,-76.9955307766411,-56.9136363636364,-54.6730481969891,-52.3973869630978,-58.5922135879085,-81.8404470992509
"134",25,7,0,-66.7246219049655,-78.0386104661943,-53.9727272727273,-50.9267825884,-55.7472872065713,-63.7419340528372,-77.6909090909091
"135",25,8,0,-62.0630877794142,-75.1099841693068,-54.4909090909091,-48.7338176372194,-57.8557248564367,-63.2445794935383,-77.5449153245891
"136",26,3,0,-59.3815157057906,-76.1130998230509,-54.0454545454545,-54.0164468821722,-46.7756395792088,-59.8334022138889,-76.9727272727273
"137",26,4,0,-60.9543378486986,-70.70400891396,-60.6454545454545,-52.4999435951297,-49.9367900225029,-63.0053840597594,-76.5563175755563
"138",26,5,0,-59.4127468010389,-71.628702528074,-56.5636363636364,-49.6053001128097,-54.4770458541864,-60.8246840182264,-76.8863636363636
"139",26,6,0,-61.8496975239724,-75.2900829423525,-58.5272727272727,-53.6874956237601,-54.1753129495961,-63.6648476822787,-79.6852851946327
"140",26,7,0,-65.2130877794142,-77.8682580493684,-57.8181818181818,-55.5115746683783,-55.3221737700282,-63.2527021723559,-78.6210323809236
"141",26,8,0,-60.2361560305168,-74.9413938366103,-60.0307698126885,-46.9391741548994,-50.5847304882997,-59.4716537151961,-75.8590909090909
"142",27,3,0,-65.0506255889177,-76.8284982708167,-53.7,-51.5995098611273,-44.6606966971214,-61.0521431022133,-76.6727272727273
"143",27,7,0,-65.6292622296917,-72.3858270957782,-54.5398607217794,-43.4275936515346,-52.2983668519361,-63.2672946173648,-76.1483051081964
"144",27,8,0,-65.296175004553,-72.5755868743299,-58.4363636363636,-48.2486423931225,-51.5829975837094,-63.6114203680184,-76.7937596536509
"145",28,3,0,-59.496175004553,-75.5208371625271,-59.4727272727273,-46.8168242113043,-50.1864633928901,-62.0282976892008,-79.8238829436654
"146",28,7,0,-65.1874250738374,-76.8447137476118,-63.5545454545455,-47.8230481969891,-48.4805116633671,-62.392679479694,-79.7573960172873
"147",28,8,0,-65.4095652599948,-75.2305835187469,-57.4454545454545,-49.1929085463103,-55.1854835040517,-68.0896491766637,-79.7494607791345
"148",29,3,0,-59.8930498313419,-72.5358270957782,-58.3181818181818,-51.3350624343564,-47.1616765859597,-61.3197658502525,-78.0438368828581
"149",29,7,0,-66.3980311344435,-75.33054084339,-54.6181818181818,-48.1643346170304,-50.8228270292537,-65.7517703887849,-76.7238829436654
"150",29,8,0,-67.0412885716322,-75.9366441248075,-57.2818181818182,-51.7854397634885,-50.6635092470765,-61.6787635809863,-78.7909090909091
"151",30,3,0,-59.4252089915354,-73.4474971180278,-57.4363636363636,-47.3003773291321,-50.6417618631875,-62.5109544762329,-78.5392141991054
"152",30,7,0,-66.8728606452558,-77.6223949893992,-58.6545454545455,-45.6297059166764,-49.0781254995512,-65.3015840320707,-79.7057011254836
"153",30,8,0,-64.0135043767964,-76.5735016263997,-54.6454545454545,-46.0548663788073,-48.3420884928003,-65.7303597619578,-79.2659477055127
"154",31,3,0,-59.0133338876088,-75.7840650116488,-60.1818181818182,-45.2903625471661,-44.1651423951404,-60.4611408329471,-80.0818181818182
"155",31,7,0,-64.2359855413292,-72.8194073617258,-58.5909090909091,-53.5904189520364,-45.7980402223233,-64.2706044554664,-76.5173350640726
"156",31,8,0,-70.0240348183956,-75.7850862979355,-54.4090909090909,-46.3577897070837,-50.7413354770483,-61.6471317558823,-78.9818181818182
"157",32,3,0,-62.2857201819607,-74.3846777834208,-57.3363636363636,-46.7734255261213,-46.4795317745287,-62.7696726718954,-78.7755778354691
"158",32,4,0,-64.1263831646752,-72.5593713975348,-59.5181818181818,-49.0871182946279,-47.9983668519361,-62.3649408606358,-78.3363636363636
"159",32,5,0,-69.6683151907103,-79.5067922843761,-63.7307698126885,-39.7620084023807,-47.0728270292537,-70.3122832710338,-82.5875193073018
"160",32,6,0,-67.3818566841659,-78.7700201334978,-58.1727272727273,-46.0854397634885,-51.3899292020708,-66.8707908121806,-83.0019132466958
"161",32,7,0,-66.9724247966997,-75.077757472974,-61.5090909090909,-42.3735383358618,-47.3878696678676,-61.4430521931224,-80.4574732464945
"162",32,8,0,-65.7637697361649,-78.7241570735286,-56.6,-49.0561111759443,-50.2262928384344,-62.6641711359774,-78.0664869263782
"163",33,3,0,-59.7496975239724,-71.7716541915564,-60.0797214435588,-50.0416073443031,-43.9781254995512,-61.5387862736482,-78.9710323809236
"164",33,4,0,-65.5916295500075,-77.4977013752852,-64.2090909090909,-46.3201248687128,-49.846307317733,-60.2335885706031,-80.1255778354691
"165",33,7,0,-67.183958922251,-76.3767361866873,-54.0272727272727,-41.2209923367176,-45.5784521291639,-63.9658726442067,-79.8511556709382
"166",33,8,0,-64.8321027923605,-78.8947137476118,-55.2545454545455,-43.3743493989964,-46.4822445679574,-64.0382272035056,-77.0164869263782
"167",0,0,45,-45.2913135378863,-58.4139015024192,-57.4454545454545,-64.3295517663939,-61.0973827720821,-66.3279336473335,-67.506229248866
"168",0,1,45,-44.3495785169411,-60.4719231983703,-52.6,-61.5366725577252,-60.4060104376646,-67.4187180338758,-69.8425928852296
"169",0,2,45,-46.6334586845026,-58.4729924115101,-52.6090909090909,-62.8340972209393,-59.3849797698107,-63.0968636917162,-70.2181818181818
"170",0,3,45,-40.878503104286,-57.5427789152024,-53.3909090909091,-58.1443985680828,-55.2554719415623,-61.0119092016143,-69.7727272727273
"171",0,4,45,-45.7061916359237,-62.5700516424752,-50.7818181818182,-58.2564446538131,-57.2989230077953,-60.8665793605266,-71.2090909090909
"172",0,7,45,-49.2231317197045,-60.6080199643494,-60.0957570105576,-49.7564446538131,-60.2869832490323,-57.1695909644435,-70.6136363636364
"173",0,8,45,-57.6656926706857,-58.3727255411255,-53.3636363636364,-52.0554595949333,-59.4650260941616,-66.3730140796876,-65.756229248866
"174",0,9,45,-50.9008202513422,-54.6251325693914,-52.8181818181818,-61.2289465473676,-62.5332079123434,-64.0386644123064,-67.9272727272727
"175",0,10,45,-54.1418660508083,-48.9957214158391,-53.1090909090909,-62.9600050494787,-63.8594789000054,-66.106970934855,-65.15
"176",0,11,45,-54.9632148805775,-60.3473243697479,-55.2454545454545,-60.5208406971565,-64.7854680975171,-68.2028182925234,-69.5744110670478
"177",0,12,45,-54.2123889505414,-56.0216563279857,-51.3454545454545,-61.5700810174494,-66.1256109146148,-67.3762937914515,-67.2545454545455
"178",0,13,45,-47.4681761394879,-54.961496205755,-59.0818181818182,-66.6853076589919,-69.7099672277118,-69.6309639503638,-73.4318181818182
"179",1,0,45,-42.54833678254,-55.1887689330278,-48.6,-60.1301569854201,-62.0731152636417,-61.335010587442,-70.4636363636364
"180",1,1,45,-44.5111472161403,-57.2740633562516,-55.2048479196485,-59.9590199905989,-62.9728836418875,-60.9046888580256,-63.7363636363636
"181",1,2,45,-44.0008202513422,-60.1989290552585,-55.9545454545455,-60.6167460009565,-56.6006948652626,-65.6001621025935,-68.1835019761387
"182",1,3,45,-43.3878731091849,-61.1716563279857,-50.9272727272727,-58.122051135209,-52.9006948652626,-61.3861329267434,-68.256229248866
"183",1,4,45,-41.458669426032,-57.0393026737968,-52.1181818181818,-55.8451582477898,-57.9165663298747,-61.3867751476908,-65.906229248866
"184",1,5,45,-41.1914502464433,-60.8649707155589,-55.1272727272727,-61.0619751672383,-64.195842536369,-64.9882902992059,-65.9272727272727
"185",1,6,45,-51.0276771742499,-57.2387689330278,-50.7545454545455,-58.6512939802413,-60.3501563691602,-68.1672028823606,-67.5242450579757
"186",1,7,45,-46.7706539295962,-55.4080199643494,-51.8272727272727,-50.7410635515899,-62.7804343152653,-67.7233881927881,-71.0607747034114
"187",1,8,45,-53.3648667406497,-55.3537413801884,-53.7545454545455,-49.6080349317191,-60.5852113915649,-64.0077378601693,-68.1090909090909
"188",1,9,45,-55.828918908651,-54.9705871148459,-53.1272727272727,-63.2850822798191,-63.7365200055239,-65.2126574278152,-67
"189",1,10,45,-55.6236842326265,-53.8171108734403,-53.3454545454545,-61.789247894511,-68.4486161334471,-64.1101259422521,-69.7636363636364
"190",1,11,45,-50.4714798596323,-51.7344903488668,-53.7636363636364,-61.8188705793969,-65.7644875980592,-65.2238870102553,-71.2363636363636
"191",1,12,45,-50.069002069524,-49.5008006111536,-55.6818181818182,-67.2103848893323,-68.5203416665636,-66.9944756096334,-74.2670039522774
"192",1,13,45,-52.9276771742499,-46.1240633562516,-55.0454545454545,-65.1149303438777,-69.7082079123434,-68.5718905025009,-73.3244110670478
"193",2,0,45,-39.8061916359237,-59.5347572192513,-54.7090909090909,-65.6388680546575,-61.819571548707,-62.5212308203255,-70.9090909090909
"194",2,1,45,-40.8359421533047,-53.083421135727,-52.8727272727273,-58.2505343005343,-62.0408338383151,-63.1964895786158,-73.9136363636364
