"","time","posX","posY","orientation","00:14:bf:b1:97:8a","00:0f:a3:39:e1:c0","00:14:bf:3b:c7:c6","00:14:bf:b1:97:81","00:14:bf:b1:97:8d","00:14:bf:b1:97:90","00:0f:a3:39:dd:cd","nas","posXY","angle"
"113","1139692905046",1.24,3.93,261.5,-36,-60,-67.5,-61,-70,-49,-68,0,"1.24-3.93",270
"114","1139692906310",1.24,3.93,261.5,-36,-60,-67,-61,-72,-51,-79,0,"1.24-3.93",270
"115","1139692907318",1.24,3.93,261.5,-36,-62,-70,-60,-72,-48,-79,0,"1.24-3.93",270
"116","1139692907822",1.24,3.93,261.5,-36,-62,-70,-58,-71,-50,-66,0,"1.24-3.93",270
"117","1139692908582",1.24,3.93,261.5,-35,-50,-71,-57,-73,-52,-65,0,"1.24-3.93",270
"118","1139692908834",1.24,3.93,261.5,-47,-60,-69,-61,-73,-52,-77,0,"1.24-3.93",270
"119","1139692909086",1.24,3.93,261.5,-35,-51,-71,-58,-73,-47,-70,0,"1.24-3.93",270
"120","1139692909590",1.24,3.93,261.5,-46,-50,-71,-60,-74,-61,-62,0,"1.24-3.93",270
"121","1139692910094",1.24,3.93,261.5,-35,-51,-72,-62,-72,-60,-70,0,"1.24-3.93",270
"122","1139692911610",1.24,3.93,261.5,-35,-49,-70,-59,-70,-62,-64,0,"1.24-3.93",270
"123","1139692913878",1.24,3.93,261.5,-47,-60,-69,-62,-73,-52,-65,0,"1.24-3.93",270
"124","1139692914130",1.24,3.93,261.5,-36,-51,-67,-60,-74,-51,-70,0,"1.24-3.93",270
"125","1139692915139",1.24,3.93,261.5,-35,-60,-70,-61,-73,-52,-67,0,"1.24-3.93",270
"126","1139692915643",1.24,3.93,261.5,-46,-50,-70,-62,-75,-63,-77,0,"1.24-3.93",270
"127","1139692915895",1.24,3.93,261.5,-36,-61,-70,-59,-73,-61,-65,0,"1.24-3.93",270
"128","1139693042714",1.39,6.61,114.1,-86,-48,-65,-65,-57,-51,-59,0,"1.39-6.61",135
"129","1139693043219",1.39,6.61,114.1,-43,-48,-64,-64,-56,-48,-59,0,"1.39-6.61",135
"130","1139693044731",1.39,6.61,114.1,-49,-50,-65,-64,-60,-51,-59,0,"1.39-6.61",135
"131","1139693045235",1.39,6.61,114.1,-48,-52,-62,-63,-62,-50,-60,0,"1.39-6.61",135
"132","1139693045487",1.39,6.61,114.1,-50,-51,-63,-65,-61,-52,-59,0,"1.39-6.61",135
"133","1139693046747",1.39,6.61,114.1,-50,-52,-63,-63,-62,-48.5,-62,0,"1.39-6.61",135
"134","1139693047755",1.39,6.61,114.1,-50,-51,-62,-66,-63,-48,-62,0,"1.39-6.61",135
"135","1139693048007",1.39,6.61,114.1,-51,-52,-63,-63,-61,-51,-60,0,"1.39-6.61",135
"136","1139693048259",1.39,6.61,114.1,-50,-51,-63,-64,-62,-52,-59,0,"1.39-6.61",135
"137","1139693049015",1.39,6.61,114.1,-49,-50,-63,-63,-61,-50,-60,0,"1.39-6.61",135
"138","1139693049267",1.39,6.61,114.1,-49,-51,-63,-64,-62,-53,-62,0,"1.39-6.61",135
"139","1139693049519",1.39,6.61,114.1,-50,-51,-62,-63,-61,-53,-56,0,"1.39-6.61",135
"140","1139693051283",1.39,6.61,114.1,-51,-52,-64,-65,-61,-48,-59,0,"1.39-6.61",135
"141","1139693052291",1.39,6.61,114.1,-50,-53,-62,-62,-62,-54,-59,0,"1.39-6.61",135
"142","1139693052543",1.39,6.61,114.1,-49.5,-53,-62,-64,-62,-48,-59,0,"1.39-6.61",135
"143","1139693053047",1.39,6.61,114.1,-50,-53,-62,-64,-61,-51,-58,0,"1.39-6.61",135
"144","1139693053299",1.39,6.61,114.1,-49,-50,-63,-65,-62,-49,-61,0,"1.39-6.61",135
"145","1139693054055",1.39,6.61,114.1,-51.5,-50,-61,-63,-62,-54,-58,0,"1.39-6.61",135
"146","1139693054811",1.39,6.61,114.1,-44,-49,-60,-66,-60,-46,-59,0,"1.39-6.61",135
"147","1139693055067",1.39,6.61,114.1,-45,-49,-59,-67,-60,-46,-59,0,"1.39-6.61",135
"148","1139693055319",1.39,6.61,114.1,-46,-54,-60,-68,-60,-50,-61,0,"1.39-6.61",135
"149","1139693056579",1.39,6.61,114.1,-48,-55,-61,-66,-61,-52,-61,0,"1.39-6.61",135
"150","1139693057336",1.39,6.61,114.1,-46,-50,-62,-64,-61,-48,-62,0,"1.39-6.61",135
"151","1139693058596",1.39,6.61,114.1,-48,-56,-60,-62,-61,-50,-62,0,"1.39-6.61",135
"152","1139693059352",1.39,6.61,114.1,-48,-51,-62,-62,-61,-49,-61,0,"1.39-6.61",135
"153","1139693060108",1.39,6.61,114.1,-48,-51,-61,-67,-59,-51,-59,0,"1.39-6.61",135
"154","1139693060360",1.39,6.61,114.1,-48,-52,-62,-67,-62,-52,-60,0,"1.39-6.61",135
"155","1139693060612",1.39,6.61,114.1,-48,-55,-61,-66,-62,-46,-57,0,"1.39-6.61",135
"156","1139693062376",1.39,6.61,114.1,-48.5,-51,-65,-67,-62,-49,-59,0,"1.39-6.61",135
"157","1139693063636",1.39,6.61,114.1,-49,-51,-63,-65,-61,-47,-61,0,"1.39-6.61",135
"158","1139693063888",1.39,6.61,114.1,-49,-50,-62,-64,-60,-48,-62,0,"1.39-6.61",135
"159","1139693064392",1.39,6.61,114.1,-48,-50,-63,-65,-62,-47,-61,0,"1.39-6.61",135
"160","1139693064897",1.39,6.61,114.1,-50,-51,-63,-65,-60,-48,-57,0,"1.39-6.61",135
"161","1139693065148",1.39,6.61,114.1,-48,-51,-61,-66,-61,-48,-57,0,"1.39-6.61",135
"162","1139693065400",1.39,6.61,114.1,-48,-50,-63,-63,-61,-54,-58,0,"1.39-6.61",135
"163","1139693066660",1.39,6.61,114.1,-48,-55,-61,-66,-60,-50,-61,0,"1.39-6.61",135
"164","1139693066916",1.39,6.61,114.1,-51,-55,-63,-65,-61,-54,-61,0,"1.39-6.61",135
"165","1139693067672",1.39,6.61,114.1,-49,-52,-60,-65,-60,-54,-57,0,"1.39-6.61",135
"166","1139693068176",1.39,6.61,114.1,-47,-50,-62,-64,-60,-53,-60,0,"1.39-6.61",135
"167","1139693068680",1.39,6.61,114.1,-48,-50,-60,-65,-60,-49,-59,0,"1.39-6.61",135
"168","1139693068932",1.39,6.61,114.1,-48.5,-51,-62,-64,-61,-54,-60,0,"1.39-6.61",135
"169","1139693069184",1.39,6.61,114.1,-49,-51,-62,-64,-61,-49,-59,0,"1.39-6.61",135
"170","1139693069436",1.39,6.61,114.1,-51,-54,-62,-63,-61,-52,-60,0,"1.39-6.61",135
"171","1139693069690",1.39,6.61,114.1,-46,-51,-61,-66,-59,-53,-57,0,"1.39-6.61",135
"172","1139693113435",2.02,7.45,94.3,-51,-55,-66,-71,-58,-56,-72,0,"2.02-7.45",90
"173","1139693114951",2.02,7.45,94.3,-45,-54,-67,-69,-57,-57,-64,0,"2.02-7.45",90
"174","1139693115455",2.02,7.45,94.3,-52,-53,-66,-70,-57,-57,-64,0,"2.02-7.45",90
"175","1139693115959",2.02,7.45,94.3,-47,-55,-66,-69,-59,-57,-62,0,"2.02-7.45",90
"176","1139693116211",2.02,7.45,94.3,-46,-55,-66,-70,-57,-57,-61,0,"2.02-7.45",90
"177","1139693117219",2.02,7.45,94.3,-47,-54,-65,-67,-57,-57,-61,0,"2.02-7.45",90
"178","1139693117975",2.02,7.45,94.3,-46,-55,-65,-69,-56,-53,-60,0,"2.02-7.45",90
"179","1139693118479",2.02,7.45,94.3,-45,-56,-65,-64,-59,-58,-59,0,"2.02-7.45",90
"180","1139693119739",2.02,7.45,94.3,-51,-55,-61,-64,-58,-60,-58,0,"2.02-7.45",90
"181","1139693121503",2.02,7.45,94.3,-51,-56,-64,-67,-58,-59,-59,0,"2.02-7.45",90
"182","1139693122259",2.02,7.45,94.3,-47,-54,-66,-70,-58,-59,-67,0,"2.02-7.45",90
"183","1139693122763",2.02,7.45,94.3,-46.5,-56,-65,-64,-58,-58,-59,0,"2.02-7.45",90
"184","1139693123015",2.02,7.45,94.3,-46,-55,-66,-66,-58,-60,-60,0,"2.02-7.45",90
"185","1139693123520",2.02,7.45,94.3,-47,-54,-66,-67,-58,-60,-71,0,"2.02-7.45",90
"186","1139693124024",2.02,7.45,94.3,-45,-53,-66,-60,-56,-59,-61,0,"2.02-7.45",90
"187","1139693124529",2.02,7.45,94.3,-45,-53,-67,-69,-58,-59,-61,0,"2.02-7.45",90
"188","1139693126040",2.02,7.45,94.3,-52,-52,-66,-64,-58,-59,-70,0,"2.02-7.45",90
"189","1139693126292",2.02,7.45,94.3,-51,-53,-65,-64,-58,-60,-70,0,"2.02-7.45",90
"190","1139693126544",2.02,7.45,94.3,-46,-55,-66,-71,-73,-61,-59,0,"2.02-7.45",90
"191","1139693127048",2.02,7.45,94.3,-50,-56,-66,-62,-57,-63,-63,0,"2.02-7.45",90
"192","1139693127300",2.02,7.45,94.3,-48,-56,-66,-63,-57,-62.5,-68,0,"2.02-7.45",90
"193","1139693128056",2.02,7.45,94.3,-47,-56,-66,-63,-57,-62,-60,0,"2.02-7.45",90
"194","1139693129820",2.02,7.45,94.3,-51,-58,-65,-66,-59,-62,-58,0,"2.02-7.45",90
"195","1139693130072",2.02,7.45,94.3,-51,-58,-68,-63,-58,-59,-59,0,"2.02-7.45",90
"196","1139693130576",2.02,7.45,94.3,-50,-57,-67.5,-64,-59,-60,-61,0,"2.02-7.45",90
"197","1139693130828",2.02,7.45,94.3,-45,-57,-67,-64,-59,-58,-59,0,"2.02-7.45",90
"198","1139693131080",2.02,7.45,94.3,-45,-56,-67,-67,-57,-60,-59,0,"2.02-7.45",90
"199","1139693131332",2.02,7.45,94.3,-46,-55,-67,-68,-59,-59,-60,0,"2.02-7.45",90
"200","1139693131584",2.02,7.45,94.3,-50,-55,-67,-64,-59,-60,-71,0,"2.02-7.45",90
"201","1139693131836",2.02,7.45,94.3,-45,-57,-67,-63,-59,-60,-70,0,"2.02-7.45",90
"202","1139693132340",2.02,7.45,94.3,-49,-57,-66,-64,-57,-57,-69,0,"2.02-7.45",90
"203","1139693133600",2.02,7.45,94.3,-45,-57,-65,-66,-56,-57,-70,0,"2.02-7.45",90
"204","1139693135368",2.02,7.45,94.3,-45,-56,-68,-69,-58,-55,-63,0,"2.02-7.45",90
"205","1139693135872",2.02,7.45,94.3,-46,-55,-68,-65,-58,-57,-62,0,"2.02-7.45",90
"206","1139693136629",2.02,7.45,94.3,-51.5,-55,-67.5,-69,-57,-56,-60,0,"2.02-7.45",90
"207","1139693136880",2.02,7.45,94.3,-46,-56,-67,-68,-56,-59,-60,0,"2.02-7.45",90
"208","1139693137132",2.02,7.45,94.3,-45,-58,-68,-67,-57,-59,-61,0,"2.02-7.45",90
"209","1139693137888",2.02,7.45,94.3,-47,-57,-67,-65,-57,-54,-69,0,"2.02-7.45",90
"210","1139693138392",2.02,7.45,94.3,-46,-57,-67,-66,-57,-60,-70,0,"2.02-7.45",90
"211","1139693138644",2.02,7.45,94.3,-51,-56,-67,-62,-58,-63,-60,0,"2.02-7.45",90
"212","1139693139149",2.02,7.45,94.3,-47,-56,-66,-62,-59,-59,-61,0,"2.02-7.45",90
"213","1139693139653",2.02,7.45,94.3,-46,-56,-66,-67,-57,-60,-59,0,"2.02-7.45",90
"214","1139693139905",2.02,7.45,94.3,-48,-55,-66,-61,-59,-60,-59,0,"2.02-7.45",90
"215","1139693190260",1.86,8.08,147.7,-48,-53,-60,-62,-52,-47,-60,0,"1.86-8.08",135
"216","1139693190764",1.86,8.08,147.7,-43,-55,-67,-65,-53,-50,-60,0,"1.86-8.08",135
"217","1139693191772",1.86,8.08,147.7,-53,-54,-60,-65,-52,-48,-60,0,"1.86-8.08",135
"218","1139693192276",1.86,8.08,147.7,-54,-53,-60,-62,-52,-50,-68,0,"1.86-8.08",135
"219","1139693192528",1.86,8.08,147.7,-53,-53,-60,-62,-50,-51,-69,0,"1.86-8.08",135
"220","1139693193032",1.86,8.08,147.7,-52,-53,-67,-63,-53,-49,-59,0,"1.86-8.08",135
"221","1139693193536",1.86,8.08,147.7,-52,-53,-60,-66,-51,-47,-59,0,"1.86-8.08",135
"222","1139693193788",1.86,8.08,147.7,-53,-53,-61,-63,-52,-50,-61,0,"1.86-8.08",135
"223","1139693194040",1.86,8.08,147.7,-53,-53,-67,-62,-52,-51,-62,0,"1.86-8.08",135
"224","1139693194796",1.86,8.08,147.7,-54,-54,-60,-61,-50,-50,-71,0,"1.86-8.08",135
"225","1139693195048",1.86,8.08,147.7,-54,-53,-61,-64,-52,-51,-71,0,"1.86-8.08",135
"226","1139693195552",1.86,8.08,147.7,-53,-53,-60,-61,-52,-50,-72,0,"1.86-8.08",135
"227","1139693196308",1.86,8.08,147.7,-52,-53,-54,-63,-49.5,-50,-71,0,"1.86-8.08",135
"228","1139693196560",1.86,8.08,147.7,-43,-54,-67,-61,-52,-52,-69,0,"1.86-8.08",135
"229","1139693197316",1.86,8.08,147.7,-43,-53,-61,-62,-53,-47,-59,0,"1.86-8.08",135
"230","1139693197568",1.86,8.08,147.7,-53,-54,-61,-65,-52,-52,-69,0,"1.86-8.08",135
"231","1139693197820",1.86,8.08,147.7,-52,-54,-67,-63,-49,-52,-62,0,"1.86-8.08",135
"232","1139693198828",1.86,8.08,147.7,-45,-54,-67,-60,-53,-47,-71,0,"1.86-8.08",135
"233","1139693202356",1.86,8.08,147.7,-53,-54,-61,-63,-53,-50,-63,0,"1.86-8.08",135
"234","1139693203869",1.86,8.08,147.7,-53,-54,-61,-60,-49,-51,-68,0,"1.86-8.08",135
"235","1139693204877",1.86,8.08,147.7,-44,-53,-67,-60,-52,-48,-61,0,"1.86-8.08",135
"236","1139693207397",1.86,8.08,147.7,-53,-55,-66,-61,-50,-48,-72,0,"1.86-8.08",135
"237","1139693207649",1.86,8.08,147.7,-54,-55,-67,-63,-53,-51,-61,0,"1.86-8.08",135
"238","1139693208153",1.86,8.08,147.7,-54,-55,-67,-64,-52,-51,-72,0,"1.86-8.08",135
"239","1139693209161",1.86,8.08,147.7,-46,-56,-64,-63.5,-52.5,-50,-60,0,"1.86-8.08",135
"240","1139693209665",1.86,8.08,147.7,-45,-56,-60,-66,-53,-49,-72,0,"1.86-8.08",135
"241","1139693209917",1.86,8.08,147.7,-53,-56,-61,-65,-49,-50,-70,0,"1.86-8.08",135
"242","1139693210421",1.86,8.08,147.7,-53,-56,-60,-61,-50,-53,-72,0,"1.86-8.08",135
"243","1139693210673",1.86,8.08,147.7,-54,-55,-69,-61,-50,-52,-71,0,"1.86-8.08",135
"244","1139693210925",1.86,8.08,147.7,-54,-56,-54,-61,-49,-50,-59,0,"1.86-8.08",135
"245","1139693211681",1.86,8.08,147.7,-46,-56,-61,-65,-53,-52,-63,0,"1.86-8.08",135
"246","1139693212185",1.86,8.08,147.7,-54,-55,-60,-62,-50,-51,-59,0,"1.86-8.08",135
"247","1139693212437",1.86,8.08,147.7,-54,-54,-61,-63,-53,-50,-69,0,"1.86-8.08",135
"248","1139693214453",1.86,8.08,147.7,-54,-57,-60,-62,-52,-47,-71,0,"1.86-8.08",135
"249","1139693215461",1.86,8.08,147.7,-54,-55,-59,-63,-49,-50,-62,0,"1.86-8.08",135
"250","1139693215713",1.86,8.08,147.7,-47,-54,-60,-63,-53,-49,-59,0,"1.86-8.08",135
