"","time","posX","posY","orientation","X00.14.bf.b1.97.8a","X00.0f.a3.39.e1.c0","X00.14.bf.3b.c7.c6","X00.14.bf.b1.97.81","X00.14.bf.b1.97.8d","X00.14.bf.b1.97.90","X00.0f.a3.39.dd.cd","nas","posXY","angle"
"41","1139693265244",0.47,8.2,5.8,-46,-49,-62,-56.6546902475314,-56,-55,-68,1,"0.47-8.2",0
"42","1139693265496",0.47,8.2,5.8,-47,-52,-60,-56.6546902475314,-58,-49,-76,1,"0.47-8.2",0
"43","1139693265748",0.47,8.2,5.8,-47,-49,-59,-72,-54.8630723149337,-45,-72,1,"0.47-8.2",0
"44","1139693266000",0.47,8.2,5.8,-45,-48,-61.5,-56.6546902475314,-54.8630723149337,-55,-67,2,"0.47-8.2",0
"45","1139693266252",0.47,8.2,5.8,-56.4354204773103,-48,-61,-71,-56,-54,-71,1,"0.47-8.2",0
"46","1139693266504",0.47,8.2,5.8,-46,-48,-63,-72,-56,-52,-76,0,"0.47-8.2",0
"47","1139693266756",0.47,8.2,5.8,-47,-49,-63,-71,-67,-49,-76,0,"0.47-8.2",0
"48","1139693267008",0.47,8.2,5.8,-44,-48,-63,-76,-54.8630723149337,-47,-74,1,"0.47-8.2",0
"49","1139693267261",0.47,8.2,5.8,-46.5,-48,-60.0102496192809,-76,-68,-51,-76,1,"0.47-8.2",0
"50","1139693267512",0.47,8.2,5.8,-56.4354204773103,-49,-60,-67,-58,-66.2612341491531,-68,2,"0.47-8.2",0
"51","1139693267765",0.47,8.2,5.8,-47,-49,-62,-72,-58,-54,-78,0,"0.47-8.2",0
"52","1139693268017",0.47,8.2,5.8,-46,-49,-60.0102496192809,-56.6546902475314,-58,-47,-78,2,"0.47-8.2",0
"53","1139693268269",0.47,8.2,5.8,-47,-49,-62,-67,-70,-51,-73,0,"0.47-8.2",0
"54","1139693268521",0.47,8.2,5.8,-47,-49,-62,-56.6546902475314,-57,-46,-72,1,"0.47-8.2",0
"55","1139693268773",0.47,8.2,5.8,-56.4354204773103,-49,-60,-69,-58,-45,-75,1,"0.47-8.2",0
"56","1139693269025",0.47,8.2,5.8,-46,-49,-60.0102496192809,-71,-57,-48,-74,1,"0.47-8.2",0
"57","1139693269277",0.47,8.2,5.8,-47,-52,-63,-71,-68,-52,-71,0,"0.47-8.2",0
"58","1139693269529",0.47,8.2,5.8,-48,-49,-61,-76,-54.8630723149337,-54,-72,1,"0.47-8.2",0
"59","1139693269781",0.47,8.2,5.8,-44,-49,-75,-74,-68,-49,-77,0,"0.47-8.2",0
"60","1139693270033",0.47,8.2,5.8,-47,-51,-61,-74,-54.8630723149337,-52,-76,1,"0.47-8.2",0
"61","1139693270285",0.47,8.2,5.8,-46.5,-50,-62,-74,-59,-66.2612341491531,-73,1,"0.47-8.2",0
"62","1139693270537",0.47,8.2,5.8,-47,-50,-63,-75,-68,-54,-76,0,"0.47-8.2",0
"63","1139693270789",0.47,8.2,5.8,-43.5,-51,-63,-73,-54.8630723149337,-54,-72,1,"0.47-8.2",0
"64","1139693271041",0.47,8.2,5.8,-46,-49,-63,-69,-67,-46,-71,0,"0.47-8.2",0
"65","1139693271293",0.47,8.2,5.8,-45,-49,-63,-77,-56,-48,-75,0,"0.47-8.2",0
"66","1139693271545",0.47,8.2,5.8,-47,-49,-60.0102496192809,-76,-56,-52,-70,1,"0.47-8.2",0
"67","1139693271797",0.47,8.2,5.8,-46,-49,-60.0102496192809,-73,-56,-45,-75,1,"0.47-8.2",0
"68","1139693272049",0.47,8.2,5.8,-46,-50,-75,-73,-58,-50,-75,0,"0.47-8.2",0
"69","1139693272305",0.47,8.2,5.8,-46,-50,-75,-73,-54.8630723149337,-47,-73,1,"0.47-8.2",0
"70","1139693272557",0.47,8.2,5.8,-56.4354204773103,-49,-60,-74,-58,-51,-72,1,"0.47-8.2",0
"71","1139693272809",0.47,8.2,5.8,-45,-49,-60.0102496192809,-56.6546902475314,-54.8630723149337,-66.2612341491531,-71,4,"0.47-8.2",0
"72","1139693273061",0.47,8.2,5.8,-44.5,-49,-62,-74,-59,-53,-76,0,"0.47-8.2",0
"73","1139693273313",0.47,8.2,5.8,-56.4354204773103,-52,-76,-73,-58,-48,-75,1,"0.47-8.2",0
"74","1139693273565",0.47,8.2,5.8,-46,-52,-63,-56.6546902475314,-57,-66.2612341491531,-75,2,"0.47-8.2",0
"75","1139693273817",0.47,8.2,5.8,-46.5,-52,-60.0102496192809,-72,-54.8630723149337,-46,-73,2,"0.47-8.2",0
"76","1139693274069",0.47,8.2,5.8,-48,-53,-60.0102496192809,-71,-54.8630723149337,-46,-76,2,"0.47-8.2",0
"77","1139693274321",0.47,8.2,5.8,-48,-49,-60,-76.5,-58,-49,-75,0,"0.47-8.2",0
"78","1139693274573",0.47,8.2,5.8,-48,-54,-63,-70,-54.8630723149337,-66.2612341491531,-76,2,"0.47-8.2",0
"79","1139693274825",0.47,8.2,5.8,-47,-49,-63,-56.6546902475314,-56,-49,-73,1,"0.47-8.2",0
"80","1139693275077",0.47,8.2,5.8,-46,-49,-63,-56.6546902475314,-54.8630723149337,-56,-76,2,"0.47-8.2",0
"81","1139693275333",0.47,8.2,5.8,-56.4354204773103,-49,-63,-72,-54.8630723149337,-54,-74,2,"0.47-8.2",0
"82","1139693275585",0.47,8.2,5.8,-47,-49,-64,-56.6546902475314,-58,-49,-73,1,"0.47-8.2",0
"83","1139693275837",0.47,8.2,5.8,-46,-49,-60,-56.6546902475314,-58,-47,-76,1,"0.47-8.2",0
"84","1139693276089",0.47,8.2,5.8,-45,-49,-75,-77,-58,-44,-76,0,"0.47-8.2",0
"85","1139693276341",0.47,8.2,5.8,-45,-52,-60.0102496192809,-72,-54.8630723149337,-50,-74,2,"0.47-8.2",0
"86","1139693276593",0.47,8.2,5.8,-45,-49,-63,-71,-58,-53,-70,0,"0.47-8.2",0
"87","1139693276845",0.47,8.2,5.8,-47,-49,-63,-56.6546902475314,-58,-46,-75,1,"0.47-8.2",0
"88","1139693277097",0.47,8.2,5.8,-46.5,-49,-62,-71,-54.8630723149337,-47,-77,1,"0.47-8.2",0
"89","1139693277349",0.47,8.2,5.8,-46,-49,-63,-76,-58,-51,-73,0,"0.47-8.2",0
"90","1139693277601",0.47,8.2,5.8,-46.5,-52,-60.0102496192809,-56.6546902475314,-68,-54,-75,2,"0.47-8.2",0
"91","1139693277853",0.47,8.2,5.8,-47,-52,-63,-72,-58,-47,-72,0,"0.47-8.2",0
"92","1139693278105",0.47,8.2,5.8,-47,-49,-63,-72,-69,-50,-76,0,"0.47-8.2",0
"93","1139693278357",0.47,8.2,5.8,-44.5,-49,-62,-56.6546902475314,-58,-46,-73,1,"0.47-8.2",0
"94","1139693278609",0.47,8.2,5.8,-46,-50,-63,-71,-58,-48,-75,0,"0.47-8.2",0
"95","1139693278861",0.47,8.2,5.8,-44,-49,-62,-56.6546902475314,-69,-53,-73,1,"0.47-8.2",0
"96","1139693279113",0.47,8.2,5.8,-45,-49,-63,-73,-58,-50,-70,0,"0.47-8.2",0
"97","1139693279365",0.47,8.2,5.8,-46,-49,-62,-73,-57,-53,-75.5,0,"0.47-8.2",0
"98","1139693279617",0.47,8.2,5.8,-45,-49,-73,-73,-54.8630723149337,-45,-75,1,"0.47-8.2",0
"99","1139693279869",0.47,8.2,5.8,-45,-49,-62,-69,-58,-53,-76,0,"0.47-8.2",0
"100","1139693280121",0.47,8.2,5.8,-56.4354204773103,-49,-61,-73,-56,-47,-73,1,"0.47-8.2",0
"101","1139693280373",0.47,8.2,5.8,-45,-50,-63,-73,-68,-66.2612341491531,-77,1,"0.47-8.2",0
"102","1139693280625",0.47,8.2,5.8,-45,-50,-63,-74,-56,-53,-78,0,"0.47-8.2",0
"103","1139693280877",0.47,8.2,5.8,-44,-49,-63,-69,-54.8630723149337,-52,-76,1,"0.47-8.2",0
"104","1139693281129",0.47,8.2,5.8,-56.4354204773103,-49,-62,-56.6546902475314,-58,-50,-70,2,"0.47-8.2",0
"105","1139693281381",0.47,8.2,5.8,-43,-49,-61,-72,-54.8630723149337,-52,-77,1,"0.47-8.2",0
"106","1139693281633",0.47,8.2,5.8,-44.5,-48,-63,-74,-54.8630723149337,-47,-74,1,"0.47-8.2",0
"107","1139693281885",0.47,8.2,5.8,-46,-52,-63,-73,-56,-44,-72,0,"0.47-8.2",0
"108","1139693282137",0.47,8.2,5.8,-44,-51,-60.0102496192809,-73,-54.8630723149337,-44,-71,2,"0.47-8.2",0
"109","1139693282389",0.47,8.2,5.8,-45,-49,-72,-56.6546902475314,-54.8630723149337,-50,-76,2,"0.47-8.2",0
"110","1139693282641",0.47,8.2,5.8,-45,-49,-62,-72,-58,-46,-74,0,"0.47-8.2",0
"111","1139693665709",0.78,10.94,348.3,-51,-54,-69,-65,-63,-55,-70,0,"0.78-10.94",0
"112","1139693665961",0.78,10.94,348.3,-46,-52,-68,-63,-63,-51,-73,0,"0.78-10.94",0
"113","1139693666213",0.78,10.94,348.3,-56.4354204773103,-56,-68.5,-56.6546902475314,-64,-55,-72,2,"0.78-10.94",0
"114","1139693666465",0.78,10.94,348.3,-49,-52,-67,-68,-54.8630723149337,-57,-71,1,"0.78-10.94",0
"115","1139693666718",0.78,10.94,348.3,-45,-52,-66,-67,-64,-66.2612341491531,-73,1,"0.78-10.94",0
"116","1139693666969",0.78,10.94,348.3,-46,-55,-66,-66,-54.8630723149337,-66.2612341491531,-71,2,"0.78-10.94",0
"117","1139693667221",0.78,10.94,348.3,-51,-54,-60.0102496192809,-66,-64,-58,-68,1,"0.78-10.94",0
"118","1139693667474",0.78,10.94,348.3,-51,-54,-60.0102496192809,-62,-64,-57,-72,1,"0.78-10.94",0
"119","1139693667726",0.78,10.94,348.3,-46,-51,-68,-56.6546902475314,-71,-57,-70,1,"0.78-10.94",0
"120","1139693667978",0.78,10.94,348.3,-56.4354204773103,-55,-60.0102496192809,-56.6546902475314,-54.8630723149337,-52,-68,4,"0.78-10.94",0
"121","1139693668229",0.78,10.94,348.3,-46,-54,-60.0102496192809,-56.6546902475314,-63,-57,-70,2,"0.78-10.94",0
"122","1139693668482",0.78,10.94,348.3,-47,-55,-68,-64,-71,-59,-70,0,"0.78-10.94",0
"123","1139693668734",0.78,10.94,348.3,-50,-52,-64,-68,-54.8630723149337,-55,-68,1,"0.78-10.94",0
"124","1139693668986",0.78,10.94,348.3,-49,-52,-66,-74,-64,-59,-69,0,"0.78-10.94",0
"125","1139693669238",0.78,10.94,348.3,-47,-55,-67,-56.6546902475314,-64,-57,-69,1,"0.78-10.94",0
"126","1139693669490",0.78,10.94,348.3,-50,-54,-60.0102496192809,-68,-62,-66.2612341491531,-69,2,"0.78-10.94",0
"127","1139693669742",0.78,10.94,348.3,-51.5,-52,-66,-77,-63,-56,-74,0,"0.78-10.94",0
"128","1139693669994",0.78,10.94,348.3,-46,-52,-68,-56.6546902475314,-64,-66.2612341491531,-73,2,"0.78-10.94",0
"129","1139693670246",0.78,10.94,348.3,-56.4354204773103,-52,-66,-64,-63,-56,-69,1,"0.78-10.94",0
"130","1139693670498",0.78,10.94,348.3,-46,-56,-67,-65,-72,-52,-69,0,"0.78-10.94",0
"131","1139693670750",0.78,10.94,348.3,-51,-51,-65,-64,-63,-56,-75,0,"0.78-10.94",0
"132","1139693671002",0.78,10.94,348.3,-52,-52,-66,-64,-63,-51,-71,0,"0.78-10.94",0
"133","1139693671254",0.78,10.94,348.3,-45,-54,-65,-64,-54.8630723149337,-66.2612341491531,-75,2,"0.78-10.94",0
"134","1139693671506",0.78,10.94,348.3,-48,-53,-65.5,-77,-64,-53,-70,0,"0.78-10.94",0
"135","1139693671758",0.78,10.94,348.3,-46,-53,-65,-74,-69,-50,-72,0,"0.78-10.94",0
"136","1139693672010",0.78,10.94,348.3,-56.4354204773103,-53,-64,-67,-66,-52,-71,1,"0.78-10.94",0
"137","1139693672262",0.78,10.94,348.3,-51,-54,-60.0102496192809,-56.6546902475314,-54.8630723149337,-57,-72,3,"0.78-10.94",0
"138","1139693672514",0.78,10.94,348.3,-50.5,-54,-68,-67,-69,-51,-69,0,"0.78-10.94",0
"139","1139693672766",0.78,10.94,348.3,-51.5,-53,-69,-64,-64,-51,-69,0,"0.78-10.94",0
"140","1139693673018",0.78,10.94,348.3,-56.4354204773103,-53,-67.6666666666667,-64,-64,-51,-71,1,"0.78-10.94",0
"141","1139693673270",0.78,10.94,348.3,-47,-53,-68,-56.6546902475314,-54.8630723149337,-49,-69,2,"0.78-10.94",0
"142","1139693673522",0.78,10.94,348.3,-51,-54,-69,-56.6546902475314,-64,-53,-69,1,"0.78-10.94",0
"143","1139693673774",0.78,10.94,348.3,-50,-54,-66,-65,-54.8630723149337,-55,-70,1,"0.78-10.94",0
"144","1139693674026",0.78,10.94,348.3,-47,-54,-69,-56.6546902475314,-73,-56,-73,1,"0.78-10.94",0
"145","1139693674278",0.78,10.94,348.3,-50,-53,-60.0102496192809,-56.6546902475314,-64,-52,-70,2,"0.78-10.94",0
"146","1139693674530",0.78,10.94,348.3,-47,-54,-66,-67,-63,-52,-71,0,"0.78-10.94",0
"147","1139693674782",0.78,10.94,348.3,-52,-54,-67,-68,-54.8630723149337,-66.2612341491531,-69,2,"0.78-10.94",0
"148","1139693675034",0.78,10.94,348.3,-51,-53,-68,-65,-71,-50,-69,0,"0.78-10.94",0
"149","1139693675286",0.78,10.94,348.3,-47,-52,-60.0102496192809,-65,-62,-57,-69,1,"0.78-10.94",0
"150","1139693675538",0.78,10.94,348.3,-51,-52,-67,-56.6546902475314,-63,-53,-70,1,"0.78-10.94",0
"151","1139693675790",0.78,10.94,348.3,-46,-54,-68,-56.6546902475314,-63,-66.2612341491531,-68,2,"0.78-10.94",0
"152","1139693676042",0.78,10.94,348.3,-48,-54,-60.0102496192809,-67,-54.8630723149337,-52,-73,2,"0.78-10.94",0
"153","1139693676294",0.78,10.94,348.3,-46,-52,-66,-66,-64,-56,-76,0,"0.78-10.94",0
"154","1139693676546",0.78,10.94,348.3,-52,-54,-60.0102496192809,-65,-54.8630723149337,-54,-69,2,"0.78-10.94",0
"155","1139693676798",0.78,10.94,348.3,-51,-55,-67,-67,-64,-56,-68,0,"0.78-10.94",0
"156","1139693677050",0.78,10.94,348.3,-47,-54,-66,-65,-54.8630723149337,-50,-75,1,"0.78-10.94",0
"157","1139693677302",0.78,10.94,348.3,-50,-54,-66,-68,-54.8630723149337,-52,-74,1,"0.78-10.94",0
"158","1139693677554",0.78,10.94,348.3,-56.4354204773103,-54,-68,-66,-63,-50,-72,1,"0.78-10.94",0
"159","1139693677806",0.78,10.94,348.3,-46,-54,-67,-65,-54.8630723149337,-57,-68,1,"0.78-10.94",0
"160","1139693678058",0.78,10.94,348.3,-48.5,-52,-65,-64,-64,-52,-74,0,"0.78-10.94",0
"161","1139693678310",0.78,10.94,348.3,-49,-55,-67,-63,-54.8630723149337,-57,-69,1,"0.78-10.94",0
"162","1139693678562",0.78,10.94,348.3,-51,-53,-68,-67,-54.8630723149337,-53,-70,1,"0.78-10.94",0
"163","1139693678814",0.78,10.94,348.3,-51,-52,-66,-68,-63.5,-53,-73,0,"0.78-10.94",0
"164","1139693679066",0.78,10.94,348.3,-46,-53,-66,-56.6546902475314,-67,-57,-73,1,"0.78-10.94",0
"165","1139693679318",0.78,10.94,348.3,-56.4354204773103,-53,-60.0102496192809,-56.6546902475314,-64,-49,-70,3,"0.78-10.94",0
"166","1139693679574",0.78,10.94,348.3,-47,-55,-67,-68,-54.8630723149337,-53,-69,1,"0.78-10.94",0
"167","1139693679826",0.78,10.94,348.3,-46.5,-53,-60.0102496192809,-64,-64,-57,-68,1,"0.78-10.94",0
"168","1139693680078",0.78,10.94,348.3,-56.4354204773103,-55,-67,-56.6546902475314,-63,-56,-75,2,"0.78-10.94",0
"169","1139693680330",0.78,10.94,348.3,-51,-54,-60.0102496192809,-62,-64,-54,-74,1,"0.78-10.94",0
"170","1139693680582",0.78,10.94,348.3,-45,-53,-68,-66,-63,-52,-71,0,"0.78-10.94",0
"171","1139693680834",0.78,10.94,348.3,-50.5,-53,-67,-56.6546902475314,-64,-49,-75,1,"0.78-10.94",0
"172","1139693681086",0.78,10.94,348.3,-51,-52,-60.0102496192809,-66,-71,-52,-74,1,"0.78-10.94",0
"173","1139693681338",0.78,10.94,348.3,-50,-53,-65,-65,-70,-54,-72,0,"0.78-10.94",0
"174","1139693681590",0.78,10.94,348.3,-46,-52,-67,-68,-54.8630723149337,-56,-74,1,"0.78-10.94",0
"175","1139693681842",0.78,10.94,348.3,-56.4354204773103,-52,-66,-56.6546902475314,-64,-58,-72,2,"0.78-10.94",0
"176","1139693682094",0.78,10.94,348.3,-56.4354204773103,-54,-60.0102496192809,-63,-63,-49,-73,2,"0.78-10.94",0
"177","1139693682346",0.78,10.94,348.3,-50,-56,-67.5,-63,-54.8630723149337,-53,-75,1,"0.78-10.94",0
"178","1139693682598",0.78,10.94,348.3,-46,-54,-67,-56.6546902475314,-65,-58,-69,1,"0.78-10.94",0
"179","1139693682854",0.78,10.94,348.3,-49,-52,-67,-56.6546902475314,-54.8630723149337,-66.2612341491531,-72,3,"0.78-10.94",0
"180","1139693683106",0.78,10.94,348.3,-56.4354204773103,-55,-60.0102496192809,-69,-64,-55,-68,2,"0.78-10.94",0
"181","1139693683358",0.78,10.94,348.3,-45,-55,-66,-69,-64,-55,-72,0,"0.78-10.94",0
"182","1139693683611",0.78,10.94,348.3,-49.5,-53,-68,-65,-64,-59,-72,0,"0.78-10.94",0
"183","1139693683863",0.78,10.94,348.3,-46,-54,-68,-65,-68,-57,-72,0,"0.78-10.94",0
"184","1139693684115",0.78,10.94,348.3,-48,-52,-67,-72,-65,-56,-73,0,"0.78-10.94",0
"185","1139693684367",0.78,10.94,348.3,-45,-53,-66,-56.6546902475314,-64,-57,-73,1,"0.78-10.94",0
"186","1139693684619",0.78,10.94,348.3,-49,-52,-68,-74,-54.8630723149337,-56,-71,1,"0.78-10.94",0
"187","1139693684871",0.78,10.94,348.3,-56.4354204773103,-54,-67,-66.5,-64,-51,-72,1,"0.78-10.94",0
"188","1139693685123",0.78,10.94,348.3,-49,-54,-68,-68,-64,-59,-74,0,"0.78-10.94",0
"189","1139693685375",0.78,10.94,348.3,-45,-52,-66,-56.6546902475314,-64,-55,-69,1,"0.78-10.94",0
"190","1139693685627",0.78,10.94,348.3,-49,-55,-60.0102496192809,-65,-64,-56,-73,1,"0.78-10.94",0
"191","1139693685879",0.78,10.94,348.3,-49,-52,-67,-56.6546902475314,-63,-55,-70,1,"0.78-10.94",0
"192","1139693686131",0.78,10.94,348.3,-46,-52,-60.0102496192809,-65,-54.8630723149337,-55,-72,2,"0.78-10.94",0
"193","1139693686383",0.78,10.94,348.3,-49.5,-54,-67,-68.5,-65,-57,-73,0,"0.78-10.94",0
"194","1139693686635",0.78,10.94,348.3,-49,-52,-67.5,-56.6546902475314,-64,-57,-72,1,"0.78-10.94",0
"195","1139693686887",0.78,10.94,348.3,-56.4354204773103,-55,-68,-56.6546902475314,-63,-56,-70,2,"0.78-10.94",0
"196","1139693687139",0.78,10.94,348.3,-46,-54,-60.0102496192809,-64,-67,-58,-70,1,"0.78-10.94",0
"197","1139693687391",0.78,10.94,348.3,-49,-52,-60.0102496192809,-67,-68,-59,-72,1,"0.78-10.94",0
"198","1139693687643",0.78,10.94,348.3,-47,-52,-67,-74,-54.8630723149337,-59,-73,1,"0.78-10.94",0
"199","1139693687895",0.78,10.94,348.3,-46,-52,-68,-64,-54.8630723149337,-59,-70,1,"0.78-10.94",0
"200","1139693688147",0.78,10.94,348.3,-51,-52,-66,-65,-54.8630723149337,-58,-69,1,"0.78-10.94",0
"201","1139693688399",0.78,10.94,348.3,-46,-52,-67,-69,-69,-55,-72,0,"0.78-10.94",0
"202","1139693688651",0.78,10.94,348.3,-46,-52,-67,-69,-69,-57,-75,0,"0.78-10.94",0
"203","1139693688905",0.78,10.94,348.3,-56.4354204773103,-55,-68,-75,-54.8630723149337,-54,-75,2,"0.78-10.94",0
"204","1139693689155",0.78,10.94,348.3,-51,-52,-67,-68,-64,-54,-75,0,"0.78-10.94",0
"205","1139693689407",0.78,10.94,348.3,-47,-55,-68,-68,-54.8630723149337,-58,-71,1,"0.78-10.94",0
"206","1139693689659",0.78,10.94,348.3,-46,-53,-68,-56.6546902475314,-54.8630723149337,-58,-70.3135619015994,3,"0.78-10.94",0
"207","1139693689911",0.78,10.94,348.3,-49,-53,-67,-56.6546902475314,-64,-66.2612341491531,-74,2,"0.78-10.94",0
"208","1139693690163",0.78,10.94,348.3,-46,-54,-67,-65,-54.8630723149337,-56,-74,1,"0.78-10.94",0
"209","1139693690415",0.78,10.94,348.3,-46,-51,-67,-75,-54.8630723149337,-51,-71,1,"0.78-10.94",0
"210","1139693690667",0.78,10.94,348.3,-47,-52,-66,-65,-54.8630723149337,-66.2612341491531,-72,2,"0.78-10.94",0
"211","1139693690919",0.78,10.94,348.3,-50,-52,-65,-56.6546902475314,-54.8630723149337,-66.2612341491531,-76,3,"0.78-10.94",0
"212","1139693691171",0.78,10.94,348.3,-51,-54,-67,-63,-63,-66.2612341491531,-71,1,"0.78-10.94",0
"213","1139693691423",0.78,10.94,348.3,-46,-52,-67,-65,-64,-58,-72,0,"0.78-10.94",0
"214","1139693691675",0.78,10.94,348.3,-47,-54,-67,-64,-68,-59,-71,0,"0.78-10.94",0
"215","1139693691927",0.78,10.94,348.3,-47,-54,-68,-56.6546902475314,-68,-59,-72,1,"0.78-10.94",0
"216","1139693692183",0.78,10.94,348.3,-46,-52,-66,-56.6546902475314,-64,-58,-72,1,"0.78-10.94",0
"217","1139693692435",0.78,10.94,348.3,-47,-52,-67,-56.6546902475314,-54.8630723149337,-50,-72,2,"0.78-10.94",0
"218","1139693692687",0.78,10.94,348.3,-47,-54,-67,-66,-64,-57,-72,0,"0.78-10.94",0
"219","1139693692940",0.78,10.94,348.3,-49,-55,-66,-64,-63,-53,-70,0,"0.78-10.94",0
"220","1139693693191",0.78,10.94,348.3,-49.5,-52,-66,-65,-54.8630723149337,-58,-69,1,"0.78-10.94",0
"221","1139694056134",7.48,7.36,340.1,-53,-48,-63,-67,-54.8630723149337,-61,-55,1,"7.48-7.36",0
"222","1139694056386",7.48,7.36,340.1,-50.5,-53.384679395735,-56,-58,-65,-61,-55,1,"7.48-7.36",0
"223","1139694056638",7.48,7.36,340.1,-48.5,-43,-60.5,-57,-56,-66.2612341491531,-67,1,"7.48-7.36",0
"224","1139694056890",7.48,7.36,340.1,-56.4354204773103,-41,-60,-66,-54,-62,-66,1,"7.48-7.36",0
