"","time","posX","posY","orientation","00:14:bf:b1:97:8a","00:14:bf:b1:97:90","00:0f:a3:39:e1:c0","00:14:bf:b1:97:8d","00:14:bf:b1:97:81","00:14:bf:3b:c7:c6","00:0f:a3:39:dd:cd","nas","posXY","angle"
"19","1139643130819",0,0,0,-42,-57,-50,-67,-66,-65,-66,0,"0.0-0.0",0
"20","1139643131079",0,0,0,-39,-57,-49,-66,-62,-66,-74,0,"0.0-0.0",0
"21","1139643131331",0,0,0,-38,-57,-51,-67,-66,-67,-73,0,"0.0-0.0",0
"22","1139643131583",0,0,0,-38,-57,-50,-66,-67,-67,-68,0,"0.0-0.0",0
"23","1139643132111",0,0,0,-37,-55,-49,-67,-60,-67,-73,0,"0.0-0.0",0
"24","1139643132867",0,0,0,-38,-57,-50,-64,-62,-65,-67,0,"0.0-0.0",0
"25","1139643133371",0,0,0,-38,-57,-50,-66,-69,-68,-67,0,"0.0-0.0",0
"26","1139643134127",0,0,0,-43,-57,-51,-64,-64,-65,-67,0,"0.0-0.0",0
"27","1139643134655",0,0,0,-38,-55,-52,-64,-64,-65,-66,0,"0.0-0.0",0
"28","1139643134915",0,0,0,-38,-57,-51,-73,-63,-66,-65,0,"0.0-0.0",0
"29","1139643135167",0,0,0,-38,-57,-50,-66,-61,-67,-65,0,"0.0-0.0",0
"30","1139643135675",0,0,0,-38,-56,-52,-66,-61,-67,-66,0,"0.0-0.0",0
"31","1139643136444",0,0,0,-42,-56,-53,-71,-67,-68,-73,0,"0.0-0.0",0
"32","1139643136696",0,0,0,-38,-56,-50,-65,-61,-68,-72,0,"0.0-0.0",0
"33","1139643137204",0,0,0,-38,-57,-53,-64,-67,-67,-74,0,"0.0-0.0",0
"34","1139643137456",0,0,0,-38,-57,-52,-79,-64,-68,-67,0,"0.0-0.0",0
"35","1139643139992",0,0,0,-39,-56,-49,-67,-62,-66,-66,0,"0.0-0.0",0
"36","1139643140244",0,0,0,-39,-56,-49,-67,-66,-68,-65,0,"0.0-0.0",0
"37","1139643140748",0,0,0,-40,-56,-49,-68,-62,-67,-66,0,"0.0-0.0",0
"38","1139643141000",0,0,0,-39.5,-57,-50,-67,-59,-65,-66,0,"0.0-0.0",0
"39","1139643141776",0,0,0,-41,-56,-52,-71,-62,-66,-72,0,"0.0-0.0",0
"40","1139643142028",0,0,0,-39,-56,-49,-67,-61,-68,-67,0,"0.0-0.0",0
"41","1139643142808",0,0,0,-39,-57,-52,-68,-68,-65,-67,0,"0.0-0.0",0
"42","1139643144344",0,0,0,-40,-55,-50,-65,-67,-66,-66,0,"0.0-0.0",0
"43","1139643145108",0,0,0,-38,-56,-50,-66,-63,-67,-73,0,"0.0-0.0",0
"44","1139643145360",0,0,0,-40,-57,-52,-65,-62,-64,-66,0,"0.0-0.0",0
"45","1139643145864",0,0,0,-38,-58,-50,-66,-68,-68,-66,0,"0.0-0.0",0
"46","1139643146116",0,0,0,-39,-58,-52,-66,-63,-67,-73,0,"0.0-0.0",0
"47","1139643177486",0,0,45.2,-38,-62,-54,-69,-62,-65,-66,0,"0.0-0.0",45
"48","1139643178242",0,0,45.2,-45,-63,-59,-69,-64,-66,-69,0,"0.0-0.0",45
"49","1139643178754",0,0,45.2,-45,-62,-53,-69,-65,-67,-71,0,"0.0-0.0",45
"50","1139643179258",0,0,45.2,-38,-54,-54,-69,-64,-66,-68,0,"0.0-0.0",45
"51","1139643179510",0,0,45.2,-43,-54,-57,-69,-64,-65,-67,0,"0.0-0.0",45
"52","1139643179770",0,0,45.2,-38,-61,-57,-72,-65,-65,-69,0,"0.0-0.0",45
"53","1139643180790",0,0,45.2,-38,-61,-59,-70,-64,-62,-70,0,"0.0-0.0",45
"54","1139643181546",0,0,45.2,-44,-54,-58,-69,-59,-69,-70,0,"0.0-0.0",45
"55","1139643182067",0,0,45.2,-42,-55,-56,-69.5,-58,-65,-68,0,"0.0-0.0",45
"56","1139643182318",0,0,45.2,-42,-61,-58,-69,-59,-67,-68,0,"0.0-0.0",45
"57","1139643182570",0,0,45.2,-42,-56,-57,-69,-62,-69,-69,0,"0.0-0.0",45
"58","1139643184082",0,0,45.2,-43,-65,-58,-69,-77,-69,-69,0,"0.0-0.0",45
"59","1139643184842",0,0,45.2,-41,-55,-56,-70,-70,-68,-71,0,"0.0-0.0",45
"60","1139643185094",0,0,45.2,-42,-61,-56,-69,-63,-70,-68,0,"0.0-0.0",45
"61","1139643185599",0,0,45.2,-45,-55,-58,-69,-62,-69,-71,0,"0.0-0.0",45
"62","1139643185851",0,0,45.2,-44,-55,-57,-69,-63,-67,-68,0,"0.0-0.0",45
"63","1139643186103",0,0,45.2,-45,-61,-59,-75,-63,-70,-71,0,"0.0-0.0",45
"64","1139643186607",0,0,45.2,-45,-48,-55,-69,-73,-67,-64,0,"0.0-0.0",45
"65","1139643187615",0,0,45.2,-40,-52,-57,-69,-61,-69,-65,0,"0.0-0.0",45
"66","1139643188627",0,0,45.2,-38,-53,-55,-69,-61,-67,-65,0,"0.0-0.0",45
"67","1139643189139",0,0,45.2,-44,-59,-58,-68,-57,-67,-66,0,"0.0-0.0",45
"68","1139643190903",0,0,45.2,-38,-52,-58,-68,-58,-67,-65,0,"0.0-0.0",45
"69","1139643191659",0,0,45.2,-45,-53,-57,-67,-71,-67,-68,0,"0.0-0.0",45
"70","1139643192667",0,0,45.2,-46,-48,-59,-68,-60,-69,-70,0,"0.0-0.0",45
"71","1139643193427",0,0,45.2,-45,-59,-59,-69,-60,-67,-65,0,"0.0-0.0",45
"72","1139643193947",0,0,45.2,-47,-58,-59,-68,-63,-64,-65,0,"0.0-0.0",45
"73","1139643194199",0,0,45.2,-48,-60,-59,-69,-62,-66,-73,0,"0.0-0.0",45
"74","1139643195463",0,0,45.2,-45,-54,-60,-68,-62,-69,-64,0,"0.0-0.0",45
"75","1139643197995",0,0,45.2,-45,-58,-56,-69,-61,-69,-66,0,"0.0-0.0",45
"76","1139643198499",0,0,45.2,-42,-54,-58,-69,-60,-73,-64,0,"0.0-0.0",45
"77","1139643199507",0,0,45.2,-46,-60,-58,-68,-61,-68,-67,0,"0.0-0.0",45
"78","1139643200524",0,0,45.2,-47,-59,-59,-66,-62,-69,-65,0,"0.0-0.0",45
"79","1139643200776",0,0,45.2,-43,-54,-56,-67,-60,-66,-64,0,"0.0-0.0",45
"80","1139643201784",0,0,45.2,-43,-58,-59,-67.5,-59,-69,-66,0,"0.0-0.0",45
"81","1139643202036",0,0,45.2,-45,-54,-56,-67,-62,-66,-68,0,"0.0-0.0",45
"82","1139643265396",0,0,90.3,-35,-53,-53,-61,-68,-57,-78,0,"0.0-0.0",90
"83","1139643266164",0,0,90.3,-37,-54,-86,-67,-59,-61,-71,0,"0.0-0.0",90
"84","1139643266416",0,0,90.3,-35,-55,-47,-65,-70,-65,-77,0,"0.0-0.0",90
"85","1139643267172",0,0,90.3,-35,-57,-48,-62,-69,-65,-77,0,"0.0-0.0",90
"86","1139643268180",0,0,90.3,-33,-56,-49,-62,-69,-65,-75,0,"0.0-0.0",90
"87","1139643268432",0,0,90.3,-33,-57,-48,-65,-61,-66,-77,0,"0.0-0.0",90
"88","1139643268936",0,0,90.3,-34,-56,-53,-65,-61,-62,-75,0,"0.0-0.0",90
"89","1139643270448",0,0,90.3,-34,-56,-49,-63,-69,-64,-75,0,"0.0-0.0",90
"90","1139643270700",0,0,90.3,-34,-55,-52,-64,-60,-61,-75,0,"0.0-0.0",90
"91","1139643271204",0,0,90.3,-33,-55,-53,-61,-61,-61,-75,0,"0.0-0.0",90
"92","1139643272212",0,0,90.3,-33,-55,-49,-63,-61,-58,-76,0,"0.0-0.0",90
"93","1139643272968",0,0,90.3,-34,-55,-52,-63,-62,-62,-76,0,"0.0-0.0",90
"94","1139643275744",0,0,90.3,-34,-55,-49,-64,-69,-67,-75,0,"0.0-0.0",90
"95","1139643275996",0,0,90.3,-33,-56,-48,-63,-60,-60,-75,0,"0.0-0.0",90
"96","1139643277256",0,0,90.3,-35,-55,-52,-63,-68,-65,-70,0,"0.0-0.0",90
"97","1139643277762",0,0,90.3,-34,-54,-49,-61,-58,-60,-70,0,"0.0-0.0",90
"98","1139643278016",0,0,90.3,-33,-55,-52,-64,-61,-66,-66,0,"0.0-0.0",90
"99","1139643278520",0,0,90.3,-33,-57,-47,-61,-61,-65,-74,0,"0.0-0.0",90
"100","1139643280033",0,0,90.3,-34,-56,-53,-63,-68,-65,-71,0,"0.0-0.0",90
"101","1139643281045",0,0,90.3,-33,-55,-52,-63,-60,-60,-74,0,"0.0-0.0",90
"102","1139643281801",0,0,90.3,-33,-57,-52,-61,-68,-64,-77,0,"0.0-0.0",90
"103","1139643282305",0,0,90.3,-34,-54,-52,-61,-65,-65,-71,0,"0.0-0.0",90
"104","1139643284073",0,0,90.3,-34,-53,-48,-64,-61,-63,-75,0,"0.0-0.0",90
"105","1139643285081",0,0,90.3,-33,-55,-49,-60,-61,-62,-73,0,"0.0-0.0",90
"106","1139643286341",0,0,90.3,-33,-54,-48,-65,-61,-64,-77,0,"0.0-0.0",90
"107","1139643286593",0,0,90.3,-33,-54,-48,-65,-69,-60,-76,0,"0.0-0.0",90
"108","1139643287097",0,0,90.3,-34,-55,-52,-63,-64,-63,-77,0,"0.0-0.0",90
"109","1139643287349",0,0,90.3,-33,-55,-54,-63,-63,-61,-71,0,"0.0-0.0",90
"110","1139643287601",0,0,90.3,-33,-55,-53,-63,-67,-61,-75,0,"0.0-0.0",90
"111","1139643287861",0,0,90.3,-33,-56,-54,-64,-61,-58,-74,0,"0.0-0.0",90
"112","1139643289121",0,0,90.3,-33,-56,-47,-63,-68,-60,-74,0,"0.0-0.0",90
"113","1139643289373",0,0,90.3,-33,-55,-48,-61,-69,-64,-78,0,"0.0-0.0",90
"114","1139643290137",0,0,90.3,-33,-56,-47,-63,-61,-65,-78,0,"0.0-0.0",90
"115","1139643290641",0,0,90.3,-34,-54,-55,-61,-61,-65,-73,0,"0.0-0.0",90
"116","1139643291397",0,0,90.3,-34,-56,-48,-63,-61,-65,-71,0,"0.0-0.0",90
"117","1139643292153",0,0,90.3,-34,-56,-54,-64,-69,-62,-76,0,"0.0-0.0",90
"118","1139643292405",0,0,90.3,-34,-56,-53,-62,-62,-65,-75,0,"0.0-0.0",90
"119","1139643327804",0,0,135.9,-41,-54,-57,-65,-61,-65,-67,0,"0.0-0.0",135
"120","1139643328056",0,0,135.9,-42,-55,-49,-62,-58,-68.5,-67,0,"0.0-0.0",135
"121","1139643328812",0,0,135.9,-39,-56,-57,-63,-60,-65,-67,0,"0.0-0.0",135
"122","1139643329064",0,0,135.9,-40,-54,-55,-64,-59,-68,-69,0,"0.0-0.0",135
"123","1139643330072",0,0,135.9,-43,-55,-49,-62,-68,-70,-69,0,"0.0-0.0",135
"124","1139643331588",0,0,135.9,-40,-56,-53,-63,-67,-67,-69,0,"0.0-0.0",135
"125","1139643332604",0,0,135.9,-37,-50,-55,-63,-69,-70,-67,0,"0.0-0.0",135
"126","1139643334372",0,0,135.9,-40,-55,-48,-64,-59,-65,-68,0,"0.0-0.0",135
"127","1139643335128",0,0,135.9,-41,-49,-49,-64,-69,-65,-67,0,"0.0-0.0",135
"128","1139643335380",0,0,135.9,-39,-56,-54,-64,-59,-65,-68,0,"0.0-0.0",135
"129","1139643336136",0,0,135.9,-41,-54,-54,-63,-58,-73,-64,0,"0.0-0.0",135
"130","1139643336896",0,0,135.9,-37,-55,-54,-65,-64,-71,-67,0,"0.0-0.0",135
"131","1139643337904",0,0,135.9,-38,-54,-48,-63,-62,-71,-69,0,"0.0-0.0",135
"132","1139643339416",0,0,135.9,-40,-54,-48,-63,-63,-71,-67,0,"0.0-0.0",135
"133","1139643340172",0,0,135.9,-38,-54,-53,-65,-67,-66,-72,0,"0.0-0.0",135
"134","1139643340424",0,0,135.9,-39,-55,-49,-64,-61,-66,-73,0,"0.0-0.0",135
"135","1139643340676",0,0,135.9,-40,-55,-53,-64,-62,-65,-69,0,"0.0-0.0",135
"136","1139643341180",0,0,135.9,-37,-55,-53,-64,-61,-67.5,-73,0,"0.0-0.0",135
"137","1139643341684",0,0,135.9,-40,-54,-49,-63,-60,-66,-72,0,"0.0-0.0",135
"138","1139643342440",0,0,135.9,-42,-54,-48,-65,-69,-68.5,-71,0,"0.0-0.0",135
"139","1139643342944",0,0,135.9,-37,-54,-49,-64,-61,-68,-67,0,"0.0-0.0",135
"140","1139643343196",0,0,135.9,-42,-53,-55,-66,-69,-68,-65,0,"0.0-0.0",135
"141","1139643344205",0,0,135.9,-40,-54,-56,-64,-59,-69.3333333333333,-69,0,"0.0-0.0",135
"142","1139643344961",0,0,135.9,-40,-48,-48,-63,-59,-66,-71,0,"0.0-0.0",135
"143","1139643345469",0,0,135.9,-38,-55,-55,-64,-64,-70,-71,0,"0.0-0.0",135
"144","1139643347237",0,0,135.9,-41,-55,-49,-65,-64,-68,-69,0,"0.0-0.0",135
"145","1139643347741",0,0,135.9,-42,-56,-48,-64,-64,-69,-67,0,"0.0-0.0",135
"146","1139643347993",0,0,135.9,-38,-55,-55,-64,-64,-68,-70,0,"0.0-0.0",135
"147","1139643350021",0,0,135.9,-39,-54,-49,-63,-64,-63,-71,0,"0.0-0.0",135
"148","1139643350273",0,0,135.9,-36,-54,-49,-63,-67,-64,-72,0,"0.0-0.0",135
"149","1139643351281",0,0,135.9,-37,-51,-49,-62,-67,-67,-71,0,"0.0-0.0",135
"150","1139643353297",0,0,135.9,-39,-54,-50,-62,-68,-68,-68,0,"0.0-0.0",135
"151","1139643354053",0,0,135.9,-36,-55,-49,-62,-65,-70,-71,0,"0.0-0.0",135
"152","1139643457160",0,0,180.3,-33,-58,-52,-63,-60,-76,-74,0,"0.0-0.0",180
"153","1139643457664",0,0,180.3,-33,-57,-52,-65,-61,-77,-70,0,"0.0-0.0",180
"154","1139643457916",0,0,180.3,-34,-59,-53,-65,-70,-67,-73,0,"0.0-0.0",180
"155","1139643458168",0,0,180.3,-31,-58,-70,-64,-61,-68,-72,0,"0.0-0.0",180
"156","1139643458676",0,0,180.3,-33,-59,-71,-66,-61,-64,-75,0,"0.0-0.0",180
"157","1139643458928",0,0,180.3,-32,-58,-53,-67,-61,-67,-77,0,"0.0-0.0",180
"158","1139643459180",0,0,180.3,-31,-59,-57,-66,-61,-67,-71,0,"0.0-0.0",180
"159","1139643459688",0,0,180.3,-33,-58,-53,-66,-61,-68,-73,0,"0.0-0.0",180
"160","1139643460696",0,0,180.3,-45,-56,-53,-68,-59,-68,-75,0,"0.0-0.0",180
"161","1139643460948",0,0,180.3,-33,-55,-60,-69,-61,-68,-71,0,"0.0-0.0",180
"162","1139643461200",0,0,180.3,-33,-57,-53,-66,-61,-69,-70,0,"0.0-0.0",180
"163","1139643462600",0,0,180.3,-32,-55,-54,-66,-71,-68,-70,0,"0.0-0.0",180
"164","1139643463104",0,0,180.3,-31,-56,-53,-67,-56,-69,-72,0,"0.0-0.0",180
"165","1139643463356",0,0,180.3,-31,-55,-53,-67,-61,-69,-70,0,"0.0-0.0",180
"166","1139643464364",0,0,180.3,-33,-59,-53,-66,-61,-67,-73,0,"0.0-0.0",180
"167","1139643464616",0,0,180.3,-33,-55,-54,-67,-61,-76,-75,0,"0.0-0.0",180
"168","1139643464872",0,0,180.3,-44,-55,-54,-67,-62,-76,-70,0,"0.0-0.0",180
"169","1139643465124",0,0,180.3,-32.5,-52,-58,-66,-60,-69,-69,0,"0.0-0.0",180
"170","1139643465376",0,0,180.3,-32,-55,-54,-68,-61,-71,-70,0,"0.0-0.0",180
"171","1139643465880",0,0,180.3,-33,-57,-58,-65,-60,-69,-76,0,"0.0-0.0",180
"172","1139643467396",0,0,180.3,-34,-57,-55,-66,-62,-70,-73,0,"0.0-0.0",180
"173","1139643467648",0,0,180.3,-33,-56,-55,-66.5,-60,-65,-74,0,"0.0-0.0",180
"174","1139643467900",0,0,180.3,-43,-56,-55,-67,-61.5,-69,-72,0,"0.0-0.0",180
"175","1139643468152",0,0,180.3,-44,-57,-55,-67,-60,-70.3333333333333,-71,0,"0.0-0.0",180
"176","1139643468656",0,0,180.3,-33,-56,-55,-66,-60,-70,-76,0,"0.0-0.0",180
"177","1139643468908",0,0,180.3,-33,-58,-53,-68,-61,-71,-73,0,"0.0-0.0",180
"178","1139643469412",0,0,180.3,-34.5,-55,-53,-65,-61,-68,-71,0,"0.0-0.0",180
"179","1139643469916",0,0,180.3,-34,-55,-54,-66,-62,-71,-71,0,"0.0-0.0",180
"180","1139643470420",0,0,180.3,-33,-57,-60,-65,-62,-66,-71,0,"0.0-0.0",180
"181","1139643470924",0,0,180.3,-33,-57,-54,-65,-61,-69,-73,0,"0.0-0.0",180
"182","1139643471180",0,0,180.3,-33,-56,-53,-68,-61,-65,-72,0,"0.0-0.0",180
"183","1139643471433",0,0,180.3,-34,-54,-54,-65,-60,-64,-74,0,"0.0-0.0",180
"184","1139643471685",0,0,180.3,-34,-54,-53,-68,-61,-69,-72,0,"0.0-0.0",180
"185","1139643472189",0,0,180.3,-32,-55,-59,-67,-61,-70,-74,0,"0.0-0.0",180
"186","1139643473701",0,0,180.3,-33,-56,-52,-64,-60,-68,-71,0,"0.0-0.0",180
"187","1139643474205",0,0,180.3,-37,-58,-55,-65,-59,-68,-72,0,"0.0-0.0",180
"188","1139643474457",0,0,180.3,-31,-58,-49,-65,-59,-70,-69,0,"0.0-0.0",180
"189","1139643475717",0,0,180.3,-32,-57,-53,-65,-59,-78,-69,0,"0.0-0.0",180
"190","1139643475969",0,0,180.3,-39,-57,-56,-65,-59,-64,-69,0,"0.0-0.0",180
"191","1139643476221",0,0,180.3,-40,-55,-56,-64,-59,-66,-68,0,"0.0-0.0",180
"192","1139643478501",0,0,180.3,-33,-55,-51,-66,-67,-62,-70,0,"0.0-0.0",180
"193","1139643478761",0,0,180.3,-31,-56,-51,-63,-61,-63,-68,0,"0.0-0.0",180
"194","1139643479265",0,0,180.3,-31,-54,-51,-65,-61,-77,-71,0,"0.0-0.0",180
"195","1139643479517",0,0,180.3,-32,-56,-52,-65,-63,-65.5,-74,0,"0.0-0.0",180
"196","1139643480021",0,0,180.3,-31,-57,-52,-65,-70,-66,-71,0,"0.0-0.0",180
"197","1139643481029",0,0,180.3,-33,-56,-52,-65,-63,-67,-69,0,"0.0-0.0",180
"198","1139643482389",0,0,180.3,-31,-58,-53,-67,-73,-67,-71,0,"0.0-0.0",180
"199","1139643482893",0,0,180.3,-32,-57,-53,-65,-64,-75,-74,0,"0.0-0.0",180
"200","1139643483145",0,0,180.3,-39,-57,-53,-65,-64,-67,-71,0,"0.0-0.0",180
"201","1139643483398",0,0,180.3,-32,-56,-54,-65,-63,-67,-73,0,"0.0-0.0",180
"202","1139643660684",0,0,225.6,-32,-57,-53,-66,-60,-67,-68,0,"0.0-0.0",225
"203","1139643661440",0,0,225.6,-34,-55,-62,-67,-62,-66,-71,0,"0.0-0.0",225
"204","1139643661692",0,0,225.6,-46,-56,-54,-66,-81,-66,-69,0,"0.0-0.0",225
"205","1139643662452",0,0,225.6,-32.5,-54,-52,-66,-61,-65,-67,0,"0.0-0.0",225
"206","1139643663717",0,0,225.6,-33,-55,-54,-67,-62,-68,-65,0,"0.0-0.0",225
"207","1139643663968",0,0,225.6,-33,-53,-55,-67,-73,-64,-69,0,"0.0-0.0",225
"208","1139643665229",0,0,225.6,-32,-54,-53,-67,-62,-66,-66,0,"0.0-0.0",225
"209","1139643667249",0,0,225.6,-32,-48,-55,-64,-62,-65,-68,0,"0.0-0.0",225
"210","1139643667501",0,0,225.6,-32,-54,-50,-64,-63,-64,-63,0,"0.0-0.0",225
"211","1139643668761",0,0,225.6,-31.5,-53,-51,-67,-62,-63,-67.5,0,"0.0-0.0",225
"212","1139643669013",0,0,225.6,-32,-56,-52,-67,-61,-64,-65,0,"0.0-0.0",225
"213","1139643669265",0,0,225.6,-45,-56,-52,-64,-62,-66,-67,0,"0.0-0.0",225
"214","1139643669769",0,0,225.6,-32,-52,-51,-64,-76,-65,-68,0,"0.0-0.0",225
"215","1139643670273",0,0,225.6,-33,-54,-50,-67,-61,-61,-63,0,"0.0-0.0",225
"216","1139643672057",0,0,225.6,-33,-53,-55,-65,-64,-65,-63,0,"0.0-0.0",225
"217","1139643672309",0,0,225.6,-46,-52,-55,-67,-61,-66,-69,0,"0.0-0.0",225
"218","1139643672561",0,0,225.6,-46,-49,-58,-67,-63,-62,-69,0,"0.0-0.0",225
"219","1139643673821",0,0,225.6,-32,-62,-56,-67,-63,-65,-68,0,"0.0-0.0",225
"220","1139643674577",0,0,225.6,-33,-55,-54,-67,-73,-67,-69,0,"0.0-0.0",225
"221","1139643675841",0,0,225.6,-46,-53,-53,-66,-62,-63,-64,0,"0.0-0.0",225
"222","1139643676093",0,0,225.6,-46,-55,-52,-68,-61,-63,-68,0,"0.0-0.0",225
"223","1139643678117",0,0,225.6,-32,-53,-57,-68,-62,-65,-66,0,"0.0-0.0",225
"224","1139643678873",0,0,225.6,-33,-54,-53,-67,-62,-65,-65,0,"0.0-0.0",225
"225","1139643680638",0,0,225.6,-34,-49,-61,-67,-62,-65,-64,0,"0.0-0.0",225
"226","1139643680890",0,0,225.6,-32,-55,-55,-66,-61,-68,-72,0,"0.0-0.0",225
"227","1139643681650",0,0,225.6,-33,-54,-56,-65,-76,-66,-69,0,"0.0-0.0",225
"228","1139643682154",0,0,225.6,-42,-56,-57,-66,-62,-69,-66,0,"0.0-0.0",225
"229","1139643682406",0,0,225.6,-32.5,-54,-55,-65,-62,-66,-68,0,"0.0-0.0",225
"230","1139643682658",0,0,225.6,-46,-58,-61,-68,-60,-64,-69.5,0,"0.0-0.0",225
"231","1139643682910",0,0,225.6,-33,-53,-59,-66,-61,-65,-66,0,"0.0-0.0",225
"232","1139643684174",0,0,225.6,-32,-50,-59,-66,-61,-63,-66,0,"0.0-0.0",225
"233","1139643684426",0,0,225.6,-34,-54,-60,-67,-62,-63,-71,0,"0.0-0.0",225
"234","1139643684678",0,0,225.6,-33,-56,-51,-66,-61,-65,-69,0,"0.0-0.0",225
"235","1139643685182",0,0,225.6,-44,-55,-51,-67,-61,-69,-69,0,"0.0-0.0",225
"236","1139643685434",0,0,225.6,-33,-53,-50,-66,-60,-64,-70,0,"0.0-0.0",225
"237","1139643686442",0,0,225.6,-33,-54,-52,-65,-76,-65,-66,0,"0.0-0.0",225
"238","1139643686946",0,0,225.6,-32,-54,-59,-65,-61,-66,-69,0,"0.0-0.0",225
"239","1139643687206",0,0,225.6,-32,-54,-59,-68,-75,-66,-69,0,"0.0-0.0",225
"240","1139643687458",0,0,225.6,-33,-55,-58,-67,-62,-66,-70,0,"0.0-0.0",225
"241","1139643730389",0,0,270.1,-36,-57,-55,-62,-64,-64,-70,0,"0.0-0.0",270
"242","1139643731149",0,0,270.1,-37,-58,-54,-66,-64,-65,-70,0,"0.0-0.0",270
"243","1139643731401",0,0,270.1,-43,-58,-60,-64,-62,-67,-73,0,"0.0-0.0",270
"244","1139643731905",0,0,270.1,-41,-63,-63,-65,-63,-63,-71,0,"0.0-0.0",270
"245","1139643732157",0,0,270.1,-40,-63,-53,-67,-79,-66,-70,0,"0.0-0.0",270
"246","1139643732661",0,0,270.1,-37,-59,-63,-67,-79,-67,-72,0,"0.0-0.0",270
"247","1139643732913",0,0,270.1,-36,-56,-62,-62,-65,-67,-76,0,"0.0-0.0",270
"248","1139643733669",0,0,270.1,-40,-56,-52,-66,-64,-69,-77,0,"0.0-0.0",270
"249","1139643733921",0,0,270.1,-36,-59,-61,-66,-64,-69,-74,0,"0.0-0.0",270
"250","1139643734429",0,0,270.1,-35,-59,-61,-64,-63,-69,-73,0,"0.0-0.0",270
"251","1139643735185",0,0,270.1,-36,-58,-52,-62,-65,-68,-77,0,"0.0-0.0",270
"252","1139643735437",0,0,270.1,-37,-56,-52,-64,-64,-67,-71,0,"0.0-0.0",270
"253","1139643735941",0,0,270.1,-35,-57,-51,-62,-71,-69,-71,0,"0.0-0.0",270
"254","1139643736193",0,0,270.1,-40,-58,-51,-68,-65,-67,-75,0,"0.0-0.0",270
"255","1139643738969",0,0,270.1,-39,-57,-51,-63,-76,-67,-71,0,"0.0-0.0",270
"256","1139643739221",0,0,270.1,-39,-58,-52,-62,-65,-69,-72,0,"0.0-0.0",270
"257","1139643739473",0,0,270.1,-37,-57,-51,-62,-77,-78,-71,0,"0.0-0.0",270
"258","1139643739977",0,0,270.1,-39,-57,-51,-62,-63,-69,-75,0,"0.0-0.0",270
"259","1139643740733",0,0,270.1,-38,-56,-60,-63,-64,-66,-65,0,"0.0-0.0",270
"260","1139643743253",0,0,270.1,-37,-58,-52,-62,-63,-66,-72,0,"0.0-0.0",270
"261","1139643743505",0,0,270.1,-37,-58,-52,-68,-81,-69,-71,0,"0.0-0.0",270
"262","1139643744262",0,0,270.1,-39,-59,-58,-69,-81,-69,-71,0,"0.0-0.0",270
"263","1139643745270",0,0,270.1,-39,-57,-53,-62,-64,-67,-72,0,"0.0-0.0",270
"264","1139643745774",0,0,270.1,-38,-58,-52,-62,-72.5,-69,-64,0,"0.0-0.0",270
"265","1139643746026",0,0,270.1,-37,-57,-59,-62,-63,-70,-72,0,"0.0-0.0",270
"266","1139643746278",0,0,270.1,-37,-58,-58,-68,-81,-64,-71,0,"0.0-0.0",270
"267","1139643747794",0,0,270.1,-40,-56,-53,-66,-63,-69,-65,0,"0.0-0.0",270
"268","1139643749306",0,0,270.1,-42,-58,-58,-64,-64,-67,-77,0,"0.0-0.0",270
"269","1139643750318",0,0,270.1,-42,-56,-53,-68,-63,-69,-74,0,"0.0-0.0",270
"270","1139643752334",0,0,270.1,-38,-57,-52,-69,-79,-68,-71,0,"0.0-0.0",270
